date,coal,oil_gas,nuclear,hydro,solar,wind,other_res,comparable_total
2025-10-13,185.13,4.02,49.19,20.07,43.5,11.69,,313.6
2025-10-14,189.56,4.0,49.21,18.57,30.32,13.57,,305.23
2025-10-15,179.69,3.77,48.97,17.32,34.44,13.46,,297.65
2025-10-16,175.19,3.94,48.97,17.91,22.31,21.36,,289.68
2025-10-17,169.74,3.9,48.7,15.74,27.39,24.79,,290.26
2025-10-18,173.06,4.02,48.58,14.91,39.28,16.36,,296.21
2025-10-19,149.11,4.1,48.65,16.56,38.96,13.76,,271.14
