date,carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
2025-07-07,coal,222.1652281026562,165.1,57.06522810265619,34.56403882656341
2025-07-08,coal,222.80599659954206,171.04,51.76599659954206,30.265432997861357
2025-07-09,coal,223.41278933893977,166.39,57.02278933893979,34.270562737508136
2025-07-10,coal,223.94255606165652,172.64,51.30255606165653,29.71649447500958
2025-07-11,coal,223.46350830176866,170.2,53.26350830176867,31.29465822665609
2025-07-12,coal,216.4545160966075,161.24,55.2145160966075,34.24368400930755
2025-07-13,coal,178.84334836709408,161.53,17.31334836709408,10.71834852169509
2025-07-07,oil_gas,3.7899999999999996,3.79,-4.440892098500626e-16,-1.17173933997378e-14
2025-07-08,oil_gas,3.7199999999999993,3.72,-8.881784197001252e-16,-2.3875763970433472e-14
2025-07-09,oil_gas,3.7499999999999996,3.75,-4.440892098500626e-16,-1.1842378929335004e-14
2025-07-10,oil_gas,3.5799999999999996,3.58,-4.440892098500626e-16,-1.2404726532124654e-14
2025-07-11,oil_gas,3.5399999999999996,3.54,-4.440892098500626e-16,-1.2544892933617589e-14
2025-07-12,oil_gas,3.4899999999999993,3.49,-8.881784197001252e-16,-2.5449238386823072e-14
2025-07-13,oil_gas,3.2499999999999996,3.25,-4.440892098500626e-16,-1.3664283380001927e-14
2025-07-07,nuclear,54.09,54.09,0.0,0.0
2025-07-08,nuclear,54.11,54.11,0.0,0.0
2025-07-09,nuclear,54.13,54.13,0.0,0.0
2025-07-10,nuclear,54.01,54.01,0.0,0.0
2025-07-11,nuclear,54.07,54.07,0.0,0.0
2025-07-12,nuclear,54.19,54.19,0.0,0.0
2025-07-13,nuclear,54.26,54.26,0.0,0.0
2025-07-07,hydro,18.49203672444926,25.85,-7.357963275550741,-28.464074566927433
2025-07-08,hydro,19.544788076101863,26.77,-7.2252119238981365,-26.989958624946347
2025-07-09,hydro,28.892699356151923,24.33,4.562699356151924,18.753388229148886
2025-07-10,hydro,19.912005505585928,24.53,-4.617994494414074,-18.825904991496426
2025-07-11,hydro,25.499573546133426,22.99,2.509573546133428,10.91593538988007
2025-07-12,hydro,22.706050288601432,25.28,-2.573949711398569,-10.181763098886746
2025-07-13,hydro,26.16844650297619,27.41,-1.2415534970238085,-4.529564016869057
2025-07-07,solar,58.11818766980864,46.24,11.87818766980864,25.688122123288576
2025-07-08,solar,58.10249425437985,46.19,11.912494254379851,25.790201893006824
2025-07-09,solar,58.08590666804172,46.54,11.545906668041724,24.80856611096202
2025-07-10,solar,58.06842757763108,44.03,14.038427577631076,31.883778282150978
2025-07-11,solar,58.050059804642714,45.82,12.230059804642714,26.69153165570213
2025-07-12,solar,58.030806326554945,47.82,10.210806326554945,21.352585375480853
2025-07-13,solar,58.01067027821331,44.38,13.630670278213309,30.713542762986272
2025-07-07,wind,60.64694044626219,155.39,-94.7430595537378,-60.971143287044086
2025-07-08,wind,64.5359640131525,140.28,-75.7440359868475,-53.99489306162497
2025-07-09,wind,68.42498758004281,137.09,-68.6650124199572,-50.08754279667167
2025-07-10,wind,70.49429379830275,107.23,-36.735706201697255,-34.25879530140563
2025-07-11,wind,69.77563129063145,136.5,-66.72436870936855,-48.8823213988048
2025-07-12,wind,66.60527023141238,147.14,-80.53472976858761,-54.73340340396059
2025-07-13,wind,62.46665779489271,146.6,-84.13334220510728,-57.389728652869906
2025-07-07,comparable_total,417.3023929431763,450.46,-33.15760705682368,-7.360832716961258
2025-07-08,comparable_total,422.8192429431763,442.11,-19.290757056823736,-4.36333877469945
2025-07-09,comparable_total,436.6963829431762,432.23,4.4663829431762,1.0333347854559376
2025-07-10,comparable_total,430.0072829431763,406.02,23.987282943176297,5.907906739366607
2025-07-11,comparable_total,434.39877294317625,433.12,1.27877294317625,0.2952468006964005
2025-07-12,comparable_total,421.4766429431763,439.16,-17.683357056823752,-4.026631992172272
2025-07-13,comparable_total,382.9991229431763,437.43,-54.430877056823704,-12.44333426075571
