carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
coal,224.27914404367172,170.2,54.07914404367173,31.773880166669645
oil_gas,3.5400000000000036,3.54,3.552713678800501e-15,1.003591434689407e-13
nuclear,54.07,54.07,0.0,0.0
hydro,22.20092805048162,22.99,-0.7890719495183767,-3.432239884812426
solar,58.050059804642714,45.82,12.230059804642714,26.69153165570213
wind,69.77563129063145,136.5,-66.72436870936855,-48.8823213988048
comparable_total,431.91576318942754,433.12,-1.2042368105724677,-0.278037682529661
