name,nice_name
market_import,market import
wind,wind
AC,AC
unserved_energy,unserved energy
nuclear,nuclear
electricity,electricity
small_hydro,small hydro
coal,coal
solar,solar
oil_gas,oil gas
bio_power,bio power
hydro,hydro
