,Tamil_Nadu_demand
455,16556.49
456,16059.49
457,16059.49
458,16059.49
459,16059.49
460,16462.55
461,16462.55
462,16462.55
463,16462.55
464,16058.45
465,16058.45
466,16058.45
467,16058.45
468,15934.0
469,15934.0
470,15934.0
471,15934.0
472,16016.99
473,16016.99
474,16016.99
475,16016.99
476,15693.97
477,15693.97
478,15693.97
479,15693.97
480,14784.42
481,14784.42
482,14784.42
483,14784.42
484,14344.78
485,14344.78
486,14344.78
487,14344.78
488,13862.53
489,13862.53
490,13862.53
491,13862.53
492,13576.52
493,13576.52
494,13576.52
495,13576.52
496,13493.79
497,13493.79
498,13493.79
499,13493.79
500,13564.86
501,13564.86
502,13564.86
503,13564.86
504,13675.34
505,13675.34
506,13675.34
507,13675.34
508,14011.89
509,14011.89
510,14011.89
511,14011.89
512,13970.76
513,13970.76
514,13970.76
515,13970.76
516,14023.31
517,14023.31
518,14023.31
519,14023.31
520,14054.7
521,14054.7
522,14054.7
523,14054.7
524,14227.71
525,14227.71
526,14227.71
527,14227.71
528,14310.79
529,14310.79
530,14310.79
531,14310.79
532,14262.51
533,14262.51
534,14262.51
535,14262.51
536,13682.17
537,13682.17
538,13682.17
539,13682.17
540,14258.87
541,14258.87
542,14258.87
543,14258.87
544,14649.47
545,14649.47
546,14649.47
547,14649.47
548,14986.36
549,14986.36
550,14986.36
551,14986.36
552,14532.86
553,14532.86
554,14532.86
555,14532.86
556,13808.8
557,13808.8
558,13808.8
559,13808.8
560,13949.06
561,13949.06
562,13949.06
563,13949.06
564,14125.6
565,14125.6
566,14125.6
567,14125.6
568,14175.23
569,14175.23
570,14175.23
571,14175.23
572,13935.08
573,13935.08
574,13935.08
575,13935.08
576,13062.54
577,13062.54
578,13062.54
579,13062.54
580,12625.85
581,12625.85
582,12625.85
583,12625.85
584,12396.15
585,12396.15
586,12396.15
587,12396.15
588,12510.26
589,12510.26
590,12510.26
591,12510.26
592,12282.12
593,12282.12
594,12282.12
595,12282.12
596,12858.91
597,12858.91
598,12858.91
599,12858.91
600,13564.3
601,13564.3
602,13564.3
603,13564.3
604,14790.32
605,14790.32
606,14790.32
607,14790.32
608,15082.93
609,15082.93
610,15082.93
611,15082.93
612,14884.91
613,14884.91
614,14884.91
615,14884.91
616,15518.04
617,15518.04
618,15518.04
619,15518.04
620,15651.35
621,15651.35
622,15651.35
623,15651.35
624,15936.03
625,15936.03
626,15936.03
627,15936.03
628,15733.87
629,15733.87
630,15733.87
631,15733.87
632,15454.26
633,15454.26
634,15454.26
635,15454.26
636,16048.97
637,16048.97
638,16048.97
639,16048.97
640,16909.87
641,16909.87
642,16909.87
643,16909.87
644,17423.18
645,17423.18
646,17423.18
647,17423.18
648,17228.62
649,17228.62
650,17228.62
651,17228.62
652,17665.71
653,17665.71
654,17665.71
655,17665.71
656,17146.25
657,17146.25
658,17146.25
659,17146.25
660,17041.72
661,17041.72
662,17041.72
663,17041.72
664,17435.02
665,17435.02
666,17435.02
667,17435.02
668,17054.11
669,17054.11
670,17054.11
671,17054.11
672,16073.38
673,16073.38
674,16073.38
675,16073.38
676,15468.05
677,15468.05
678,15468.05
679,15468.05
680,15054.15
681,15054.15
682,15054.15
683,15054.15
684,14741.87
685,14741.87
686,14741.87
687,14741.87
688,14486.82
689,14486.82
690,14486.82
691,14486.82
692,14763.33
693,14763.33
694,14763.33
695,14763.33
696,15221.2
697,15221.2
698,15221.2
699,15221.2
700,16170.02
701,16170.02
702,16170.02
703,16170.02
704,16749.06
705,16749.06
706,16749.06
707,16749.06
708,16746.15
709,16746.15
710,16746.15
711,16746.15
712,17033.31
713,17033.31
714,17033.31
715,17033.31
716,17666.27
717,17666.27
718,17666.27
719,17666.27
720,17393.91
721,17393.91
722,17393.91
723,17393.91
724,16455.63
725,16455.63
726,16455.63
727,16455.63
728,16291.32
729,16291.32
730,16291.32
731,16291.32
732,17060.38
733,17060.38
734,17060.38
735,17060.38
736,17689.7
737,17689.7
738,17689.7
739,17689.7
740,18245.94
741,18245.94
742,18245.94
743,18245.94
744,17722.42
745,17722.42
746,17722.42
747,17722.42
748,17934.74
749,17934.74
750,17934.74
751,17934.74
752,17496.94
753,17496.94
754,17496.94
755,17496.94
756,17277.37
757,17277.37
758,17277.37
759,17277.37
760,17580.66
761,17580.66
762,17580.66
763,17580.66
764,17481.55
765,17481.55
766,17481.55
767,17481.55
768,16535.65
769,16535.65
770,16535.65
771,16535.65
772,15790.54
773,15790.54
774,15790.54
775,15790.54
776,15268.24
777,15268.24
778,15268.24
779,15268.24
780,14963.34
781,14963.34
782,14963.34
783,14963.34
784,14867.19
785,14867.19
786,14867.19
787,14867.19
788,15108.0
789,15108.0
790,15108.0
791,15108.0
792,15312.09
793,15312.09
794,15312.09
795,15312.09
796,16627.14
797,16627.14
798,16627.14
799,16627.14
800,16880.93
801,16880.93
802,16880.93
803,16880.93
804,17007.8
805,17007.8
806,17007.8
807,17007.8
808,17700.28
809,17700.28
810,17700.28
811,17700.28
812,17402.74
813,17402.74
814,17402.74
815,17402.74
816,17453.96
817,17453.96
818,17453.96
819,17453.96
820,16985.18
821,16985.18
822,16985.18
823,16985.18
824,16785.7
825,16785.7
826,16785.7
827,16785.7
828,17365.95
829,17365.95
830,17365.95
831,17365.95
832,18340.17
