,snapshot,objective,stores,generators
103,2025-04-02 01:45:00,0.25,0.25,0.25
104,2025-04-02 02:00:00,0.25,0.25,0.25
105,2025-04-02 02:15:00,0.25,0.25,0.25
106,2025-04-02 02:30:00,0.25,0.25,0.25
107,2025-04-02 02:45:00,0.25,0.25,0.25
108,2025-04-02 03:00:00,0.25,0.25,0.25
109,2025-04-02 03:15:00,0.25,0.25,0.25
110,2025-04-02 03:30:00,0.25,0.25,0.25
111,2025-04-02 03:45:00,0.25,0.25,0.25
112,2025-04-02 04:00:00,0.25,0.25,0.25
113,2025-04-02 04:15:00,0.25,0.25,0.25
114,2025-04-02 04:30:00,0.25,0.25,0.25
115,2025-04-02 04:45:00,0.25,0.25,0.25
116,2025-04-02 05:00:00,0.25,0.25,0.25
117,2025-04-02 05:15:00,0.25,0.25,0.25
118,2025-04-02 05:30:00,0.25,0.25,0.25
119,2025-04-02 05:45:00,0.25,0.25,0.25
120,2025-04-02 06:00:00,0.25,0.25,0.25
121,2025-04-02 06:15:00,0.25,0.25,0.25
122,2025-04-02 06:30:00,0.25,0.25,0.25
123,2025-04-02 06:45:00,0.25,0.25,0.25
124,2025-04-02 07:00:00,0.25,0.25,0.25
125,2025-04-02 07:15:00,0.25,0.25,0.25
126,2025-04-02 07:30:00,0.25,0.25,0.25
127,2025-04-02 07:45:00,0.25,0.25,0.25
128,2025-04-02 08:00:00,0.25,0.25,0.25
129,2025-04-02 08:15:00,0.25,0.25,0.25
130,2025-04-02 08:30:00,0.25,0.25,0.25
131,2025-04-02 08:45:00,0.25,0.25,0.25
132,2025-04-02 09:00:00,0.25,0.25,0.25
133,2025-04-02 09:15:00,0.25,0.25,0.25
134,2025-04-02 09:30:00,0.25,0.25,0.25
135,2025-04-02 09:45:00,0.25,0.25,0.25
136,2025-04-02 10:00:00,0.25,0.25,0.25
137,2025-04-02 10:15:00,0.25,0.25,0.25
138,2025-04-02 10:30:00,0.25,0.25,0.25
139,2025-04-02 10:45:00,0.25,0.25,0.25
140,2025-04-02 11:00:00,0.25,0.25,0.25
141,2025-04-02 11:15:00,0.25,0.25,0.25
142,2025-04-02 11:30:00,0.25,0.25,0.25
143,2025-04-02 11:45:00,0.25,0.25,0.25
144,2025-04-02 12:00:00,0.25,0.25,0.25
145,2025-04-02 12:15:00,0.25,0.25,0.25
146,2025-04-02 12:30:00,0.25,0.25,0.25
147,2025-04-02 12:45:00,0.25,0.25,0.25
148,2025-04-02 13:00:00,0.25,0.25,0.25
149,2025-04-02 13:15:00,0.25,0.25,0.25
150,2025-04-02 13:30:00,0.25,0.25,0.25
151,2025-04-02 13:45:00,0.25,0.25,0.25
152,2025-04-02 14:00:00,0.25,0.25,0.25
153,2025-04-02 14:15:00,0.25,0.25,0.25
154,2025-04-02 14:30:00,0.25,0.25,0.25
155,2025-04-02 14:45:00,0.25,0.25,0.25
156,2025-04-02 15:00:00,0.25,0.25,0.25
157,2025-04-02 15:15:00,0.25,0.25,0.25
158,2025-04-02 15:30:00,0.25,0.25,0.25
159,2025-04-02 15:45:00,0.25,0.25,0.25
160,2025-04-02 16:00:00,0.25,0.25,0.25
161,2025-04-02 16:15:00,0.25,0.25,0.25
162,2025-04-02 16:30:00,0.25,0.25,0.25
163,2025-04-02 16:45:00,0.25,0.25,0.25
164,2025-04-02 17:00:00,0.25,0.25,0.25
165,2025-04-02 17:15:00,0.25,0.25,0.25
166,2025-04-02 17:30:00,0.25,0.25,0.25
167,2025-04-02 17:45:00,0.25,0.25,0.25
168,2025-04-02 18:00:00,0.25,0.25,0.25
169,2025-04-02 18:15:00,0.25,0.25,0.25
170,2025-04-02 18:30:00,0.25,0.25,0.25
171,2025-04-02 18:45:00,0.25,0.25,0.25
172,2025-04-02 19:00:00,0.25,0.25,0.25
173,2025-04-02 19:15:00,0.25,0.25,0.25
174,2025-04-02 19:30:00,0.25,0.25,0.25
175,2025-04-02 19:45:00,0.25,0.25,0.25
176,2025-04-02 20:00:00,0.25,0.25,0.25
177,2025-04-02 20:15:00,0.25,0.25,0.25
178,2025-04-02 20:30:00,0.25,0.25,0.25
179,2025-04-02 20:45:00,0.25,0.25,0.25
180,2025-04-02 21:00:00,0.25,0.25,0.25
181,2025-04-02 21:15:00,0.25,0.25,0.25
182,2025-04-02 21:30:00,0.25,0.25,0.25
183,2025-04-02 21:45:00,0.25,0.25,0.25
184,2025-04-02 22:00:00,0.25,0.25,0.25
185,2025-04-02 22:15:00,0.25,0.25,0.25
186,2025-04-02 22:30:00,0.25,0.25,0.25
187,2025-04-02 22:45:00,0.25,0.25,0.25
188,2025-04-02 23:00:00,0.25,0.25,0.25
189,2025-04-02 23:15:00,0.25,0.25,0.25
190,2025-04-02 23:30:00,0.25,0.25,0.25
191,2025-04-02 23:45:00,0.25,0.25,0.25
192,2025-04-03 00:00:00,0.25,0.25,0.25
193,2025-04-03 00:15:00,0.25,0.25,0.25
194,2025-04-03 00:30:00,0.25,0.25,0.25
195,2025-04-03 00:45:00,0.25,0.25,0.25
196,2025-04-03 01:00:00,0.25,0.25,0.25
197,2025-04-03 01:15:00,0.25,0.25,0.25
198,2025-04-03 01:30:00,0.25,0.25,0.25
199,2025-04-03 01:45:00,0.25,0.25,0.25
200,2025-04-03 02:00:00,0.25,0.25,0.25
201,2025-04-03 02:15:00,0.25,0.25,0.25
202,2025-04-03 02:30:00,0.25,0.25,0.25
203,2025-04-03 02:45:00,0.25,0.25,0.25
204,2025-04-03 03:00:00,0.25,0.25,0.25
205,2025-04-03 03:15:00,0.25,0.25,0.25
206,2025-04-03 03:30:00,0.25,0.25,0.25
207,2025-04-03 03:45:00,0.25,0.25,0.25
208,2025-04-03 04:00:00,0.25,0.25,0.25
209,2025-04-03 04:15:00,0.25,0.25,0.25
210,2025-04-03 04:30:00,0.25,0.25,0.25
211,2025-04-03 04:45:00,0.25,0.25,0.25
212,2025-04-03 05:00:00,0.25,0.25,0.25
213,2025-04-03 05:15:00,0.25,0.25,0.25
214,2025-04-03 05:30:00,0.25,0.25,0.25
215,2025-04-03 05:45:00,0.25,0.25,0.25
216,2025-04-03 06:00:00,0.25,0.25,0.25
217,2025-04-03 06:15:00,0.25,0.25,0.25
218,2025-04-03 06:30:00,0.25,0.25,0.25
219,2025-04-03 06:45:00,0.25,0.25,0.25
220,2025-04-03 07:00:00,0.25,0.25,0.25
221,2025-04-03 07:15:00,0.25,0.25,0.25
222,2025-04-03 07:30:00,0.25,0.25,0.25
223,2025-04-03 07:45:00,0.25,0.25,0.25
224,2025-04-03 08:00:00,0.25,0.25,0.25
225,2025-04-03 08:15:00,0.25,0.25,0.25
