carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
coal,1044.4394753503204,1221.48,-177.04052464967958,-14.493935606778626
oil_gas,0.0,27.75,-27.75,-100.0
nuclear,405.3025780535274,342.27,63.0325780535274,18.4160393997509
hydro,117.75976703603793,121.08,-3.32023296396207,-2.742181172747002
solar,449.01812519487993,236.2,212.81812519487994,90.10081506980522
wind,316.5936010950387,114.99000000000001,201.6036010950387,175.32272466739602
comparable_total,2333.113546729805,2063.77,269.343546729805,13.051044773875237
