date,carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
2025-10-13,coal,168.11584902566526,185.13,-17.01415097433474,-9.190380259458077
2025-10-14,coal,174.44751453897302,189.56,-15.112485461026978,-7.9724021212423395
2025-10-15,coal,162.01811725800593,179.69,-17.671882741994068,-9.834650087369397
2025-10-16,coal,158.65469465234102,175.19,-16.535305347658976,-9.43849840039898
2025-10-17,coal,148.6717270193648,169.74,-21.068272980635214,-12.41208494204973
2025-10-18,coal,135.7365158303831,173.06,-37.323484169616904,-21.566788495098177
2025-10-19,coal,96.79505702558734,149.11,-52.31494297441267,-35.08479845376747
2025-10-13,oil_gas,0.0,4.02,-4.02,-100.0
2025-10-14,oil_gas,0.0,4.0,-4.0,-100.0
2025-10-15,oil_gas,0.0,3.77,-3.77,-100.0
2025-10-16,oil_gas,0.0,3.94,-3.94,-100.0
2025-10-17,oil_gas,0.0,3.9,-3.9,-100.0
2025-10-18,oil_gas,0.0,4.02,-4.02,-100.0
2025-10-19,oil_gas,0.0,4.1,-4.1,-100.0
2025-10-13,nuclear,58.56,49.19,9.370000000000005,19.048587111201474
2025-10-14,nuclear,58.56,49.21,9.350000000000001,19.00020321072953
2025-10-15,nuclear,58.56,48.97,9.590000000000003,19.58341841944048
2025-10-16,nuclear,58.56,48.97,9.590000000000003,19.58341841944048
2025-10-17,nuclear,58.268334568494105,48.7,9.568334568494102,19.647504247421153
2025-10-18,nuclear,58.56,48.58,9.980000000000004,20.543433511733234
2025-10-19,nuclear,54.234243485033275,48.65,5.5842434850332765,11.478403874682993
2025-10-13,hydro,19.904798027534135,20.07,-0.16520197246586577,-0.8231289111403377
2025-10-14,hydro,18.22299333352497,18.57,-0.347006666475032,-1.868641176494518
2025-10-15,hydro,16.69509848405407,17.32,-0.624901515945929,-3.6079764200111373
2025-10-16,hydro,16.037337746811758,17.91,-1.872662253188242,-10.455958979275499
2025-10-17,hydro,16.052212396630363,15.74,0.31221239663036293,1.983560334373335
2025-10-18,hydro,15.105655090454327,14.91,0.19565509045432705,1.31224071397939
2025-10-19,hydro,15.741671957028293,16.56,-0.8183280429717055,-4.941594462389527
2025-10-13,solar,64.36513595128672,43.5,20.865135951286717,47.96582977307292
2025-10-14,solar,64.29123739525714,30.32,33.97123739525714,112.04233969411985
2025-10-15,solar,64.21771430715009,34.44,29.77771430715009,86.46258509625463
2025-10-16,solar,64.1445924315123,22.31,41.83459243151229,187.51498176383816
2025-10-17,solar,64.07189755388923,27.39,36.68189755388923,133.9244160419468
2025-10-18,solar,63.999655488731975,39.28,24.719655488731973,62.93191315868628
2025-10-19,solar,63.92789206705248,38.96,24.96789206705248,64.08596526450843
2025-10-13,wind,40.39836843310498,11.69,28.70836843310498,245.58056829003405
2025-10-14,wind,41.82547616983595,13.57,28.25547616983595,208.2201633738832
2025-10-15,wind,44.50756138838099,13.46,31.04756138838099,230.66538921531196
2025-10-16,wind,47.18964660692605,21.36,25.829646606926048,120.92531183017815
2025-10-17,wind,48.61675434365706,24.79,23.826754343657058,96.11437815109745
2025-10-18,wind,48.1211250280217,16.36,31.761125028021702,194.13890603925245
2025-10-19,wind,45.934669125112016,13.76,32.17466912511202,233.82753724645363
2025-10-13,comparable_total,351.34415143759105,313.6,37.74415143759103,12.035762575762444
2025-10-14,comparable_total,357.3472214375911,305.23,52.11722143759107,17.07473755449696
2025-10-15,comparable_total,345.99849143759104,297.65,48.348491437591065,16.243403809034458
2025-10-16,comparable_total,344.5862714375911,289.68,54.9062714375911,18.954111929574395
2025-10-17,comparable_total,335.6809258820356,290.26,45.42092588203559,15.648358672237164
2025-10-18,comparable_total,321.5229514375911,296.21,25.312951437591096,8.54561001910506
2025-10-19,comparable_total,276.6335336598134,271.14,5.493533659813409,2.0260875045413473
