snapshot,converged,generator_p_mw,generator_q_mvar,line_p0_mw,line_p1_mw,line_losses_mw,bus2_voltage_pu,bus2_angle_deg
2025-01-01 00:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 01:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 02:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 03:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 04:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 05:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 06:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 07:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 08:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 09:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 10:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 11:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 12:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 13:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 14:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 15:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 16:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 17:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 18:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 19:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 20:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 21:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 22:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
2025-01-01 23:00:00,True,81.37438279955671,5.497531358604192,81.37438279955671,-79.9999999427287,1.3743828568280065,0.9808744930390713,-3.8649441293535056
