date,coal,oil_gas,nuclear,hydro,solar,wind,comparable_total,other_res,system_plant_generation,market_import,unserved_energy,objective,solver_status,termination_condition,runtime_seconds,max_nodal_residual_mw,max_corridor_loading_pct,most_loaded_corridor,fiscal_week
2025-04-02,242.09803925783064,0.0,35.83917354120941,16.485078237612054,66.7272620638009,45.66035355043748,406.80990665089047,5.870296526365332,412.6802031772558,5.366501586644813,0.0,902805291.0110521,ok,optimal,23.886047799999687,5.4569682106375694e-12,100.0,chennai_north__vellore,1
2025-04-10,235.32393764914272,0.0,35.83917354120941,16.92200503175439,67.28005231890991,44.320028703717206,399.6851972447336,6.467055157339672,406.1522524020733,5.877452940436848,0.0,892731705.0255367,ok,optimal,35.733804899999996,2.9558577807620168e-12,100.0,chennai_north__vellore,2
2025-04-19,233.91687383639777,1.0676063598096985,35.83917354120941,16.526496343276072,67.85654774811881,44.320028703717185,399.5267265325289,6.294137031568719,405.8208635640977,4.8691354325489,0.0,891359559.9717512,ok,optimal,27.05408250000073,3.183231456205249e-12,100.00000000000004,erode__coimbatore,3
2025-04-26,262.0710768479756,4.952564000000001,35.83917354120941,16.500640175595628,68.26508787021487,39.28205523204101,426.9105976670364,7.121285031346508,434.03188269838296,10.506159421413367,0.0,1036645952.0042017,ok,optimal,36.61658979999993,2.5011104298755527e-12,100.0,chennai_north__vellore,4
2025-04-29,251.1309698570985,4.666904000000001,35.83917354120941,15.643795943716363,68.31944529875464,45.53902766160636,421.13931630238534,6.876913393003256,428.0162296953886,6.729831877611146,0.0,976966751.3498071,ok,optimal,29.9604446000003,7.503331289626658e-12,100.0,chennai_north__vellore,5
2025-05-10,230.55556682699327,0.0,35.83917354120941,18.802124660792916,65.33029219402867,49.95316157479932,400.4803187978236,5.911230188314062,406.39154898613765,4.915042586862387,0.0,871963712.4795264,ok,optimal,34.31915639999988,8.412825991399586e-10,100.0,chennai_north__vellore,6
2025-05-14,249.48459460236248,0.0,35.83917354120941,17.862415611972413,65.48711035915153,45.48448500552114,414.157779120217,6.130320171324301,420.2880992915413,5.491469471255174,0.0,928734203.658958,ok,optimal,28.77494089999982,5.6843418860808015e-12,100.00000000000003,trichy__madurai,7
2025-05-23,213.12090287193874,0.0,35.83917354120941,17.463056252136404,65.78533168889452,45.48448500552116,377.69294935970026,2.6526123691112167,380.34556172881145,4.729345906680808,0.0,796168530.5566344,ok,optimal,38.18244929999946,2.9558577807620168e-12,100.0,chennai_north__chennai_south,8
2025-05-31,195.129216806199,0.0,35.83917354120941,17.46613351077531,65.98427914497837,43.93252991984505,358.35133292300713,1.570407098752045,359.9217400217592,3.3644989722620458,0.0,728616081.3217329,ok,optimal,32.9409969999997,2.94903657049872e-10,100.0,chennai_north__vellore,9
2025-06-06,239.14293283502337,0.0,35.83917354120941,23.848310671870532,60.2164879466845,61.30615284179921,420.35305783658697,5.461417578942765,425.8144754155297,5.575471783047797,0.0,897043205.4776459,ok,optimal,29.530102499999884,5.002220859751105e-12,100.0,chennai_north__vellore,10
2025-06-09,199.40734190177457,0.0,35.83917354120941,22.411575795399532,60.25264709752087,53.91719581071892,371.8279341466233,1.6032080262460409,373.43114217286933,3.668279539575411,0.0,744141120.7678368,ok,optimal,30.228303299999425,4.2518877307884395e-11,100.0,chennai_north__vellore,11
2025-06-20,238.53093039948547,0.0,35.83917354120941,24.089192919269216,60.31259801521733,59.40148069119657,418.17337556637807,5.24596876497123,423.4193443313493,6.404165027010701,0.0,900339147.0764815,ok,optimal,27.003773899999942,2.7284841053187847e-12,100.0,chennai_north__vellore,12
2025-06-28,239.9486371002016,0.0,35.83917354120941,22.85476134897324,60.28413825569953,55.82186796132142,414.74857820740516,2.9353359898570446,417.6839141972622,4.4723145260956025,0.0,879005074.837253,ok,optimal,29.639500600000247,2.2737367544323206e-12,100.0,chennai_north__vellore,13
2025-07-01,226.2353226837793,0.0,35.83917354120941,27.777167126162865,57.31844496471616,69.69211857698353,416.86222689285125,2.141509769664454,419.0037366625157,4.32457763668519,0.0,830020947.1568514,ok,optimal,28.021357700000408,2.446540747769177e-10,100.00000000000007,vellore__coimbatore,14
2025-07-09,241.6883084659782,0.0,35.83917354120941,28.836646617092626,57.21252809651224,67.64635960041042,431.22301632120286,3.8186488827272127,435.04166520393017,5.031836369069622,0.0,890150051.231206,ok,optimal,27.118137299999944,3.410605131648481e-12,100.0,chennai_north__vellore,15
2025-07-16,239.53837380331186,0.0,35.83917354120941,28.81764444728604,57.07374054289854,59.95682114364151,421.2257534783473,2.267159859237515,423.49291333758487,4.327441352232264,0.0,871890189.5474321,ok,optimal,16.545206200000393,2.9558577807620168e-12,100.0,chennai_north__chennai_south,16
2025-07-26,195.4459631730982,0.0,35.83917354120941,27.847563325602188,56.80318041275896,63.80159037202592,379.73747082469475,0.6938370568236966,380.43130788151836,3.7881377528499223,0.0,716913359.7150276,ok,optimal,29.150801599999795,4.320099833421409e-12,100.0,chennai_north__vellore,17
2025-07-31,242.14174776042307,0.0,35.83917354120941,28.877847083067863,56.63726234577146,61.75583139545295,425.2518621259248,2.8271452292206343,428.0790073551454,4.525210450451789,0.0,883856208.8191572,ok,optimal,29.230952400000206,2.9558577807620168e-12,100.0,chennai_north__vellore,18
2025-08-08,201.27795978115523,0.0,35.83917354120941,28.289748331041743,57.776062066966055,63.576751095199135,386.7596948155716,1.272554713731349,388.03224952930293,4.004449420915536,0.0,747102199.702027,ok,optimal,28.91605299999992,9.777068044058979e-12,100.0,chennai_north__vellore,19
