technology,days,observed_mu,modeled_mu,mean_error_mu,mae_mu,mean_percentage_error_pct,mape_pct,rmse_mu,aggregate_error_pct
coal,53,9836.52,11147.195777057708,24.729731642598285,30.59381220988258,14.665327177006944,17.466265341706578,39.04501220979649,13.32458813744808
oil_gas,53,177.63,10.6870743598097,-3.1498665215130246,3.1766388988715155,-95.16670489346971,95.765859919902,3.296081312744445,-93.98351947316911
nuclear,53,2200.44,1899.476197684099,-5.678562307847192,12.934794948942507,-3.9268613435842656,31.00709530760217,13.976189072280699,-13.677437345071947
hydro,53,821.87,1053.2403237030958,4.365477805718788,5.612272116909385,65.29934525309291,70.35175124604339,6.669757570505545,28.151693540717606
solar,53,2181.21,3320.6793170464057,21.499421076347275,21.499421076347275,95.70455795155654,95.70455795155654,23.90204054854455,52.24023899791426
wind,53,3072.32,2468.9965465292717,-11.38346138624016,32.422542934571474,72.06268092756316,107.14461691925548,43.20794752061328,-19.63738977289893
comparable_total,53,18289.99,19900.275236380392,30.38274030906398,46.70797041894143,11.05829545208701,14.935562262635992,59.43314174332685,8.80418871951483
