date,coal,oil_gas,nuclear,hydro,solar,wind,diesel,other_res,market_import,unserved_energy,system_plant_generation,comparable_total
2025-04-01,217.64170300706576,3.33,54.48,16.8440739435275,67.67347727198214,44.8301642765798,0.0,0.3854650315687211,5.739565940939067,0.0,405.18488353072394,404.7994184991552
2025-04-02,230.68561356002863,2.9499999999999997,54.48,15.099006854836748,67.74588792709166,46.1859166264742,0.0,0.3854650315687211,0.0,0.0,417.53189,417.14642496843123
2025-04-03,204.65034851569328,3.5600000000000014,54.39,14.007171270269184,67.81783897046141,45.715068776620576,0.0,0.3854650315687211,0.040055451359588004,0.0,390.5258925646132,390.14042753304443
2025-04-04,190.96058759911625,3.610000000000001,54.41,16.91174651949293,67.88931198590727,43.637935668856336,0.0,0.3854650315687211,0.8840229216341003,0.0,377.8050468049416,377.41958177337284
2025-04-05,180.20382552631816,3.7600000000000016,54.44,16.989727790994635,67.96028884699638,40.926430969067596,0.0,0.3854650315687211,0.3326320266742923,0.0,364.66573816494554,364.2802731333768
2025-04-06,157.25554807501396,3.7500000000000013,54.35,17.447069393834095,68.03075171809401,38.84929786130339,0.0,0.3854650315687211,1.0186069127292048,0.0,340.0681320798142,339.68266704824543
2025-04-07,185.87508851986115,3.7000000000000006,54.31,17.19589429175248,68.1006830551982,38.37845001144973,0.0,0.3854650315687211,1.0828839971139443,0.0,367.9455809098303,367.56011587826157
2025-04-08,218.26353624318122,3.18,54.25,16.501365153526436,68.17006560656837,39.7342023613441,0.0,0.3854650315687211,1.0028171768109024,0.0,400.4846343961889,400.09916936462014
2025-04-09,220.80618588347033,3.990000000000002,54.32,16.167607801322855,68.23888241315457,42.282183318961984,0.0,0.3854650315687211,0.02338234542869395,0.0,406.19032444847846,405.8048594169097
2025-04-10,223.91515661545813,3.950000000000002,54.15,15.792123005758251,68.30711680883411,44.83016427657982,0.0,0.3854650315687211,0.0,0.0,411.330025738199,410.9445607066303
2025-04-11,205.27212121662555,4.010000000000002,54.13,16.623804500022246,68.3747524204618,46.18591662647421,0.0,0.3854650315687211,1.342600204847452,0.0,394.9820597951525,394.59659476358377
2025-04-12,189.80945140136876,3.970000000000001,54.36,16.697400308202546,68.44177316774105,45.71506877662056,0.0,0.3854650315687211,0.28434131449834693,0.0,379.3791586855017,378.99369365393295
2025-04-13,177.45703069060144,3.980000000000001,54.42,17.325547557347058,68.50816326292193,43.637935668856414,0.0,0.3854650315687211,1.8110292776418702,0.0,365.7141422112956,365.32867717972687
2025-04-14,181.7383675367906,3.8500000000000014,54.46,17.159981229611514,68.57390721033343,40.926430969067574,0.0,0.3854650315687211,0.7479154517786969,0.0,367.09415197737184,366.7086869458031
2025-04-15,203.75876792625937,3.8800000000000012,53.18,15.780920805978155,68.63898980575651,38.84929786130337,0.0,0.3854650315687211,0.3756482462427889,0.0,384.47344143086616,384.0879763992974
2025-04-16,224.9108555117552,3.770000000000002,42.96,14.92133122541866,68.58729549230044,38.36514477448657,0.0,0.3828433706923683,0.5656796884530018,0.0,393.8974703746532,393.51462700396087
2025-04-17,232.60556317172868,2.26,44.51,15.727892627169611,68.767111576197,39.73420236134412,0.0,0.3854650315687211,0.31646671169114415,0.0,403.9902347680082,403.60476973643944
2025-04-18,228.24635739418096,2.63,52.64,15.479752462991504,68.83012179229684,42.282183318961955,0.0,0.3854650315687211,0.0,0.0,410.49388,410.10841496843125
