snapshot,chennai_north_wind,chennai_south_wind,coimbatore_wind,erode_wind,madurai_wind,tirunelveli_wind,trichy_wind,vellore_wind,villupuram_wind,chennai_north_solar,chennai_south_solar,coimbatore_solar,erode_solar,madurai_solar,tirunelveli_solar,trichy_solar,vellore_solar,villupuram_solar
2025-04-01 00:00:00,0.1838365948688348,0.2057937148142595,0.09650346456152614,0.08582549506438734,0.1477674257728618,0.0,0.2052532323364672,0.05187807281194071,0.06096638131367779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 01:00:00,0.1345012602994781,0.1492587148155437,0.05095267302557105,0.04047873810679209,0.09270479232914919,0.0,0.1613146884367175,0.02647097782104078,0.03112968718994421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 02:00:00,0.09546084594439802,0.1094556294774453,0.02759997742547485,0.01501577716578395,0.05312945958460762,0.0,0.1244653251018132,0.01365026828866998,0.01690676789504958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 03:00:00,0.05242307887592917,0.05088262752354032,0.01647416910245321,0.0,0.03916847483815827,0.0,0.09299182642306243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 04:00:00,0.03876440353542687,0.02590091293687824,0.01558644897477374,0.0,0.03682763290369834,0.04395357352124729,0.06671898445618758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 05:00:00,0.0,0.0,0.01996521960093542,0.0,0.05608879410801156,0.03150173594095947,0.06856022046823622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 06:00:00,0.0,0.0,0.01124265827024868,0.0,0.03799877232906628,0.01352602646390395,0.05569066283570474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 07:00:00,0.0,0.0,0.0,0.0,0.01320677368020436,0.0,0.03700201637828221,0.0,0.0,0.08208166149463704,0.07852883501071851,0.05863311144721685,0.06697019712948206,0.06513306091282374,0.06039772223569903,0.06720612725594488,0.07347309873151084,0.07082881105362462
2025-04-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.05943872687648867,0.0,0.0,0.2310713680175387,0.2215002751611744,0.2231367659691499,0.2351735910322358,0.2258202834441153,0.2254820996996543,0.2127800308309761,0.2448970556820935,0.2245761040621939
2025-04-01 09:00:00,0.02304458993343066,0.03998738611068865,0.0,0.0,0.0,0.0,0.0650608451344818,0.0,0.01005116341846616,0.3444148676030013,0.3567912734989586,0.3531151302902766,0.3920712849409653,0.3732047015749178,0.3810055685411307,0.3246178748195594,0.4098914498726904,0.3692468062935054
2025-04-01 10:00:00,0.06703514876130696,0.09686965114218893,0.0,0.0,0.02090026608204967,0.0,0.07375707948727273,0.0,0.0260052983403116,0.4708612683184764,0.4783446139339964,0.4939834453363499,0.510145609213428,0.4857431557058058,0.4632592858059072,0.4683318992466077,0.523965039652892,0.4961419248856729
2025-04-01 11:00:00,0.1102506110612298,0.1329501232805818,0.0,0.0,0.04043016804554161,0.0,0.06921387141665858,0.0,0.03121576229144198,0.540791981128361,0.5379963244848305,0.5101760627883875,0.5462759401021837,0.5072585049880038,0.5203396194337817,0.4878247787273672,0.5778380640423635,0.506120181905035
2025-04-01 12:00:00,0.1531236892097649,0.1466856301077404,0.0,0.0,0.05769236879527007,0.0273546254775157,0.06549347591151115,0.0,0.03334404903336315,0.5055212708372425,0.4898305558495333,0.544857785475065,0.5247648616732482,0.5010001891910942,0.4706528552260681,0.4819264688437433,0.5166325678479932,0.4468394561585733
2025-04-01 13:00:00,0.178010082776761,0.1532300165605907,0.0,0.0,0.06726960944319847,0.05468946182344099,0.06407060350694065,0.01203619587624505,0.03644888159861633,0.5351767854240329,0.5317236810174688,0.438196482416068,0.4774100675368027,0.4553561493822211,0.4546298651476576,0.4976835789671233,0.5275592178854497,0.4616257907096323
2025-04-01 14:00:00,0.1903362174363318,0.1601992500881281,0.01823315436203466,0.0,0.07068350493839544,0.07612170016438946,0.06308138865756059,0.01663502264970344,0.04141642646844603,0.4725355655073227,0.4830321953760857,0.4377942050386268,0.4536881541369345,0.4421761940926124,0.4686667408061168,0.4473768944478005,0.4550463126023442,0.4436627013669407
2025-04-01 15:00:00,0.2842140212665905,0.2640636970325868,0.01775891036223444,0.0,0.04349740370439508,0.06733628840870295,0.06772938196339146,0.03035706796472577,0.1035497384222635,0.420144159782961,0.4181474763139899,0.3036449322833334,0.3607316337380336,0.3408806995923924,0.373299953271206,0.4108058208131042,0.3500032169006373,0.3994310913518189
2025-04-01 16:00:00,0.3413151235557997,0.3473143893014793,0.01981073416991774,0.01013669594108952,0.0572633133918407,0.07570301833638786,0.1079467224294691,0.04078896072644338,0.1609678005483247,0.2881058946501159,0.2985130378281892,0.2973920464095577,0.2523671868754347,0.2934262648123064,0.2631864304876638,0.2695662506735272,0.2471977755110587,0.2623667875504833
2025-04-01 17:00:00,0.4221882242528041,0.4115264016515948,0.0511546397708687,0.04302110217284476,0.09703541219066969,0.1515970593216088,0.2142692642421292,0.1122373812941399,0.273546656483273,0.1508399512460727,0.1564671395884932,0.1315481284160508,0.1232432407375712,0.134099921495423,0.1395238420147573,0.131499834631096,0.1347926586448368,0.142652263059675
2025-04-01 18:00:00,0.5795903174794274,0.4947122031588062,0.1292968806685034,0.1453006067613243,0.1343564205936496,0.1827243233897466,0.4036604318953055,0.324673683510428,0.4623746976790565,0.01965209303696844,0.02005864819975116,0.02751173386374924,0.02552282550160385,0.02321171372633028,0.02531888811725434,0.02192810088593911,0.02312242915287945,0.0220316533349188
2025-04-01 19:00:00,0.5703947085003219,0.4816323164034726,0.1727758021207082,0.2339770640155799,0.1718797950524292,0.1596466412914386,0.5137020542887832,0.4765269518796418,0.5240512994069753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 20:00:00,0.472013060947067,0.4410188738967952,0.1551831430279888,0.2754857542432426,0.2082166108136362,0.129668811049595,0.548868340520586,0.4525358243259124,0.4111364176124721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 21:00:00,0.3387728979238245,0.3804296038821733,0.1290960803882635,0.2470877956156915,0.2032744577281218,0.08044808994014978,0.5110121359135135,0.3150029075336286,0.2521492707454907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 22:00:00,0.2312710060892115,0.3596133268280147,0.117668887918148,0.2368676402969985,0.1838358627548428,0.05131462445372389,0.4320100342970697,0.2174080794189846,0.1763230346840235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01 23:00:00,0.1536568379421199,0.2841703031137001,0.1182562156159306,0.1994954900765968,0.1303198906842002,0.01497558546053067,0.333468531989963,0.1602267520734729,0.1139252744789586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 00:00:00,0.09945479868160786,0.1970768409349316,0.1013064140714853,0.1376741385696129,0.09141565148878235,0.0,0.2553442948567576,0.1216978250810034,0.06561530052669583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 01:00:00,0.06931970383572113,0.1307899563496505,0.08170135800252513,0.07881824084518614,0.06711621727174621,0.0,0.1898929956592278,0.08167482141470762,0.03853588650818542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 02:00:00,0.03484300258974264,0.08165131881308271,0.06552243765564758,0.03934665366108459,0.04687765885464386,0.0,0.1407702122909092,0.03472825607662954,0.02125090504903122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 03:00:00,0.0,0.03619966010315064,0.05984044785038387,0.02579820199004259,0.05203670310097869,0.0,0.1359427569943882,0.01047068247248199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 04:00:00,0.0,0.02404787878608069,0.02218071572231199,0.0,0.0282904966188795,0.0,0.09027871065419228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 05:00:00,0.0,0.01955100129073514,0.01186958358342247,0.0,0.01152757205066711,0.0,0.06062034595863777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 06:00:00,0.0,0.01223044434711247,0.01539138448766387,0.0,0.0,0.0,0.03998332746807642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.02308803472297621,0.0,0.0,0.06628257714506902,0.06116430805606484,0.05032816208776735,0.05983717555935666,0.06265473713526805,0.05887383474168644,0.06517574135419063,0.06370826670951989,0.0595608143101321
2025-04-02 08:00:00,0.0,0.02038410457228516,0.0,0.0,0.0,0.0,0.04354512449880893,0.0,0.0,0.2069770533680703,0.1928207543977042,0.1810263217509764,0.2027940093689418,0.2095818535077375,0.2186401276595682,0.1965309358893342,0.2127225406540193,0.1962805729819743
2025-04-02 09:00:00,0.03141329915704858,0.0491868269591064,0.0,0.0,0.0,0.0,0.04867467689200879,0.01868150079853689,0.01114102270068268,0.3232324834245174,0.3157143142054524,0.3007304646053985,0.3355194417193607,0.3132911263835519,0.3609011352467008,0.3264491437922871,0.3647019350981104,0.3200043840160857
2025-04-02 10:00:00,0.05895671646241266,0.0583612114601573,0.0,0.0,0.0,0.0,0.04358605914050359,0.03660053975434715,0.0,0.4817589742322255,0.4794784184723014,0.4304903913896859,0.4467265374742531,0.4550875556837337,0.481458923526964,0.4482689907517016,0.5020263099734594,0.4745149053070974
2025-04-02 11:00:00,0.09532591531604677,0.07300987034645069,0.0,0.0,0.01690839670538972,0.01045961513869509,0.05852851433981772,0.06140652166286647,0.01306902364309182,0.513276842239485,0.5186827554990595,0.5058238503161031,0.5409234412645725,0.4950109039012331,0.5219075243185733,0.507190151759738,0.5795413892583684,0.5516644762298857
2025-04-02 12:00:00,0.1272204629090666,0.08556264241040965,0.0,0.01555501814161286,0.02430897954623066,0.02456085409255812,0.0736352694697986,0.0756863555372719,0.02483658196677267,0.5477430135715178,0.5621805492709985,0.5723096961272259,0.5668269865805928,0.5211787976011192,0.5414159179950051,0.5168246093849563,0.5844547048858167,0.5701286573962902
2025-04-02 13:00:00,0.1488366466782428,0.1139346781854259,0.0,0.0207248223130354,0.03306420972343111,0.04489038753071156,0.07948819157292529,0.0705826730183832,0.05060431473813143,0.5124309140994259,0.5481471239629551,0.4885008488729796,0.5231257978549249,0.4930860879477034,0.5086303572497785,0.5236603636284288,0.5667620624550344,0.5819252910956292
2025-04-02 14:00:00,0.1801360168187897,0.139570040543142,0.01608388259749238,0.03035184050921457,0.04026849728676124,0.06536359361209194,0.07953932286927282,0.07661514116838494,0.07634381186615237,0.507629810909487,0.5194645080868375,0.5132951927328022,0.4419367938625104,0.4808051969921378,0.4547784560283169,0.4405263658949,0.4925103855661346,0.5246054310560808
2025-04-02 15:00:00,0.1039639993640393,0.1164147259232498,0.033370356255424,0.0292386529344832,0.06668301175210894,0.1591834855796216,0.09506577441369579,0.0461157312840012,0.06925920004375152,0.4090103674070398,0.4351054041687653,0.3976705299768029,0.4169778974326354,0.4035796487144281,0.3967309063998692,0.3835791316556809,0.4263949684630435,0.4443782503454817
2025-04-02 16:00:00,0.1830197754315368,0.2948673191100657,0.04848727320090276,0.05503703909330881,0.1464445240242203,0.3235118702552667,0.1756050289060299,0.06414679915392293,0.1987185149014132,0.2944122855718439,0.3121741951393668,0.2611982040454283,0.2894208503127882,0.2738329346550304,0.274052477634597,0.2500316653754904,0.2964561140705139,0.2945613979992308
2025-04-02 17:00:00,0.2091241315677142,0.449044844878826,0.0889287642452678,0.1422832365511702,0.1719535883239282,0.1612339177126866,0.2643861903728986,0.1263763327799262,0.3738162484746228,0.1450358034198371,0.1576939577386269,0.1500715264789173,0.1662790238106198,0.1514866624959283,0.1374132922559844,0.1191998134785637,0.1635320679587943,0.1461319268754719
2025-04-02 18:00:00,0.2008014332954946,0.4298676575071821,0.1497270583341218,0.2101943587828559,0.1617934073696568,0.07296878252274548,0.27373944575421,0.2004658190943026,0.4655030880292813,0.01714758383352851,0.01761287249349556,0.02690918511664687,0.02573952723624256,0.01980440700018736,0.02235085506848327,0.01649248778678791,0.02498673813380163,0.01807491486089513
2025-04-02 19:00:00,0.249666965524643,0.4484318506633668,0.1730041326161025,0.2663178020489982,0.1953899196879035,0.03599103219993785,0.2979374923731073,0.3193903671847007,0.4847743472784918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 20:00:00,0.2995369176955306,0.3717930135036871,0.1299839785609572,0.2441786735534025,0.1391710258963118,0.0,0.274227690469146,0.4016484700684558,0.3527641880731082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 21:00:00,0.2439775031667874,0.2685999578829744,0.06597765591643318,0.1762664244569084,0.06905122834199276,0.0,0.2256458080276265,0.3511218519950971,0.1863008137970246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 22:00:00,0.1660923460742469,0.215684757059237,0.03090297224874246,0.1257917216042901,0.03254901371062836,0.0,0.2134286273012696,0.2321728316358059,0.1130765097655382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02 23:00:00,0.1234597817642792,0.2084922709971152,0.01126232792361783,0.07897325799622275,0.0173814946652627,0.0,0.1988791070859857,0.1344803289142102,0.1128277739620555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 00:00:00,0.08898609469688958,0.2026772900211652,0.0,0.05911705416390307,0.01196349175609409,0.0,0.1582918207694358,0.07329961797094581,0.1149384114760871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 01:00:00,0.07387168499247167,0.1725275862968196,0.0,0.05502607947530289,0.01004924620869605,0.0,0.07409540664059261,0.04857348198137186,0.08607484788096813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 02:00:00,0.09692872959567217,0.07757188737471973,0.0,0.0,0.0,0.0,0.02846080750043441,0.02721354294323807,0.0178025163293517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 03:00:00,0.07220434529754842,0.09345305147039734,0.0,0.0,0.0,0.0,0.0279044884648229,0.0,0.02436903872152667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 04:00:00,0.03449290707595207,0.0219525712702039,0.0,0.0,0.0,0.0,0.05174193777548382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 05:00:00,0.05078252141718258,0.0140720696604532,0.0,0.0,0.0288584185869857,0.0,0.04012485780320717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 06:00:00,0.07808030550305506,0.0452576102478778,0.01321614466058606,0.0,0.03254679064877205,0.01799491134521383,0.0330661980055258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03 07:00:00,0.08870627365213454,0.0,0.01387984449283198,0.0,0.0,0.0200855111536137,0.02073197788907808,0.0,0.0,0.04834851565843985,0.03338693572499537,0.04120322040492311,0.02912047293940127,0.03629775317602571,0.0458440607025748,0.02708829971534522,0.0353296877838842,0.02220016671024332
2025-04-03 08:00:00,0.1277140003329855,0.0,0.01865914518457787,0.0,0.0,0.0,0.01312291776149733,0.0,0.0,0.1542272356329882,0.1165783079001236,0.164669548498254,0.1316064126034647,0.1556810084643332,0.1628672904559202,0.09158925334535684,0.1376582912692222,0.09727428152262228
2025-04-03 09:00:00,0.1472891855616514,0.03626298201186035,0.01796168899987189,0.0,0.0,0.0,0.0,0.0,0.01124836625640838,0.2850502380106131,0.2354937426736984,0.2662394516311835,0.270269858649248,0.2517115705363581,0.2582596445842776,0.1747143043658975,0.2821441670189731,0.2056847911708824
2025-04-03 10:00:00,0.1641551612086927,0.04831475712297023,0.02070662166057276,0.0,0.0,0.0,0.0,0.0,0.01695735812732264,0.3765415287589978,0.3335178093828854,0.3794533624491632,0.3645641790446196,0.3661096986983083,0.4206363871820876,0.2617633632961993,0.4160408712774682,0.3067993730070417
2025-04-03 11:00:00,0.1574081732078612,0.0277770782964882,0.03116321166594148,0.0,0.0,0.0,0.0,0.01215509614741687,0.0,0.4159908413313322,0.3900451044279974,0.4297219959554966,0.4590543212104487,0.3996625548227391,0.464584533152055,0.3551909329297693,0.5200400534039025,0.3883360275034857
