name,bus0,bus1,p_nom,p_min_pu,efficiency,carrier,marginal_cost,bus2,efficiency2
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_02,water_upper_bhavani,Coimbatore,20.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_08,water_upper_bhavani,Coimbatore,20.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_03,water_upper_bhavani,Coimbatore,35.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_04,water_upper_bhavani,Coimbatore,35.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_05,water_upper_bhavani,Coimbatore,35.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_06,water_upper_bhavani,Coimbatore,35.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_07,water_upper_bhavani,Coimbatore,35.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_10,water_upper_bhavani,Coimbatore,60.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_11,water_upper_bhavani,Coimbatore,60.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_13,water_upper_bhavani,Coimbatore,60.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_12,water_upper_bhavani,Coimbatore,50.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_14,water_upper_bhavani,Coimbatore,50.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
