balancing_area,source_energy_twh,energy_share,scaled_energy_twh,scaled_energy_mu,source_peak_gw,peak_share,scaled_peak_gw,scaled_peak_mw,modeled_annual_energy_mwh,modeled_peak_mw,affine_slope,affine_intercept_mw
Chennai North,14.149999999999999,0.0847381501332455,12.631322873311973,12631.322873311972,2.14,0.08485329103885804,1.8227335448057096,1822.7335448057097,11133186.26489505,1695.9907295796986,0.08519941601756939,-6.918114170746776
Chennai South,17.71,0.10605743030811152,15.809238734018026,15809.238734018025,2.6500000000000004,0.10507533703409991,2.2571233148295002,2257.1233148295,13934185.777476422,2100.1754361617764,0.10212306727600293,59.007989904104534
Coimbatore,25.62,0.1534269545168728,22.87028212114861,22870.282121148608,3.9,0.1546391752577319,3.3218041237113396,3321.80412371134,20157754.91919514,3090.824226804123,0.15828323099874905,-72.83494463410398
Erode,21.745,0.13022127736024194,19.411174267149743,19411.17426714974,3.245,0.12866772402854876,2.763911379857256,2763.911379857256,17108914.157607272,2571.7242605075335,0.1239975886757081,93.34353644189241
Madurai,16.365000000000002,0.09800281462406805,14.608593556307456,14608.593556307456,2.485,0.09853291038858046,2.116585448057097,2116.585448057097,12875942.984099474,1969.4097957969861,0.10012643081670917,-31.85021865874978
Tirunelveli,13.96,0.08360032338233975,12.461715004341709,12461.71500434171,2.105,0.08346550356859633,1.792922482157018,1792.922482157018,10983694.717875259,1668.2525634417127,0.08306022184084239,8.100499635588221
Trichy,20.205,0.12099889211605833,18.036457855496,18036.457855496,3.035,0.12034099920697856,2.5850450039651065,2585.0450039651064,15897245.829131057,2405.295263679619,0.11836330789095016,39.52876897159376
Vellore,20.220000000000002,0.12108872054376144,18.04984795041471,18049.847950414707,3.045,0.12073750991276762,2.5935624504361616,2593.5624504361617,15909047.793369466,2413.220454004758,0.11968173593279742,21.102102943077625
Villupuram,17.009999999999998,0.10186543701530078,15.184367637811778,15184.367637811778,2.615,0.1036875495638382,2.2273122521808086,2227.3122521808086,13383427.44635087,2072.4372700237905,0.10916500055067034,-109.47962043263942
