component_type,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size,component_id,original_component_id,bus,allocated_districts,allocation_method,allocation_confidence,allocation_source_url,allocation_notes,allocation_share,original_capacity_mw
Generator,59.0,unit,1.0,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1979-07-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,tuticorin_tps__unit_01,tuticorin_tps__unit_01,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,60.0,unit,2.0,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1980-12-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,tuticorin_tps__unit_02,tuticorin_tps__unit_02,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,61.0,unit,3.0,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1982-04-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,tuticorin_tps__unit_03,tuticorin_tps__unit_03,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,62.0,unit,5.0,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1992-02-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,tuticorin_tps__unit_05,tuticorin_tps__unit_05,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,63.0,unit,4.0,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1991-03-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,tuticorin_tps__unit_04,tuticorin_tps__unit_04,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,64.0,unit,1.0,Coal,Tuticorin Thermal Power Plant,Tamil Nadu,Thoothukudi,2021-12-01,525.0,SEPC Power Pvt. Ltd.,1.0,tuticorin_thermal_power_plant__unit_01,tuticorin_thermal_power_plant__unit_01,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,525.0
Generator,67.0,unit,1.0,Coal,Vallur TPP,Tamil Nadu,Thiruvallur,2012-03-01,500.0,NTPC Tamil Nadu Energy Co. Ltd. (NTECL),1.0,vallur_tpp__unit_01,vallur_tpp__unit_01,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,500.0
Generator,68.0,unit,2.0,Coal,Vallur TPP,Tamil Nadu,Thiruvallur,2013-02-28,500.0,NTPC Tamil Nadu Energy Co. Ltd. (NTECL),1.0,vallur_tpp__unit_02,vallur_tpp__unit_02,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,500.0
Generator,69.0,unit,3.0,Coal,Vallur TPP,Tamil Nadu,Thiruvallur,2014-02-28,500.0,NTPC Tamil Nadu Energy Co. Ltd. (NTECL),1.0,vallur_tpp__unit_03,vallur_tpp__unit_03,Chennai North,Tiruvallur,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,500.0
Generator,70.0,unit,1.0,Hydro,Aliyar Hydroelectric Power Project,Tamil Nadu,Coimbatore,1970-03-21,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,aliyar_hydroelectric_power_project__unit_01,aliyar_hydroelectric_power_project__unit_01,Coimbatore,Coimbatore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,60.0
