date,coal,oil_gas,nuclear,hydro,solar,wind,diesel,other_res,market_import,unserved_energy,system_plant_generation,comparable_total
2025-04-07,227.29595267897315,3.7,54.31,7.634014623621566,56.656439297458945,11.70101080411343,0.0,5.007872595832928,0.0,0.0,366.30529,361.2974174041671
2025-04-08,253.0855445484089,3.18,54.25,7.666692887160478,61.039165075833694,11.958657133084628,0.0,9.24444677253882,0.0,0.0,400.4245064170265,391.1800596444877
2025-04-09,256.2654269682785,3.990000000000002,54.32,6.141556587073115,58.76709054103675,14.34209718011889,0.0,10.949718723492717,0.0,0.0,404.77589,393.8261712765073
2025-04-10,217.65370000271312,3.9499999999999997,54.15,3.398360564669057,55.90689589321228,73.40160085013926,0.0,0.8477926892662335,0.0,0.0,409.30834999999996,408.46055731073375
2025-04-11,193.9349058786587,4.010000000000002,54.13,3.746886749699811,58.777218010672435,79.83489702303693,0.0,0.32281325886352463,0.0,0.0,394.75672092093134,394.43390766206784
2025-04-12,190.886512394805,3.97,54.36,3.8894288918516393,55.65536139681922,66.02370941715151,0.0,4.402121607466741,0.0,0.0,379.18713370809417,374.7850121006274
2025-04-13,202.55133889804193,3.98,54.42,10.643113723136178,56.50860136355726,29.25817735236955,0.0,9.595861564583684,0.0,0.0,366.9570929016886,357.3612313371049
2025-07-07,112.82326993055965,3.790000000000001,54.09,18.70426616641601,50.434828086292725,175.36837104311388,0.0,4.800329342469038,0.0,0.0,420.0110645688513,415.21073522638227
2025-07-08,124.04340556791361,3.72,54.11,17.495681757136325,55.48921866124624,164.10694589970856,0.0,5.987515226813329,0.2889095370908221,0.0,424.95276711281804,418.9652518860047
2025-07-09,139.97937154254237,3.750000000000001,54.13,16.404959010726994,56.977370202087414,163.41235153813128,0.0,4.67887442829562,0.36017145405240353,0.0,439.3329267217836,434.654052293488
2025-07-10,173.43219279248177,3.580000000000002,54.01,19.14016734527848,54.23813874638811,121.43157649227562,0.0,7.5386643983040855,0.05157312296789087,0.0,433.37073977472807,425.832075376424
2025-07-11,155.97044912176975,3.539999999999999,54.07,15.681680220421272,54.87748311611643,148.88452511934088,0.0,5.492584451635805,0.0,0.0,438.51672202928415,433.02413757764833
2025-07-12,137.6930689219901,3.49,54.19,16.957733543004853,51.98447680510045,151.36125835713506,0.0,9.601676290353472,0.0,0.0,425.2782139175839,415.67653762723046
2025-07-13,89.25375590311904,3.2500000000000004,54.26,17.35308659784539,50.340403848050876,167.87879070624496,0.0,4.078737323808982,0.0,0.0,386.41477437906923,382.33603705526025
2025-10-13,212.66437572734188,4.020000000000001,49.19,21.770383114405426,53.35638705819455,5.5335397189927225,0.0,5.26140438106546,0.0,0.0,351.79609000000005,346.5346856189346
2025-10-14,216.284103912749,4.000000000000001,49.21,20.45619356382184,46.470167870506444,18.921260876780103,0.0,5.124100442809325,0.0,0.0,360.46582666666666,355.34172622385734
2025-10-15,221.59551730730672,3.77,48.97,18.912134310693673,30.006684178207077,9.775795343258126,0.0,13.420298860534462,0.0,0.0,346.4504300000001,333.03013113946565
2025-10-16,213.78568567058124,3.94,48.97,19.746101369365693,18.435285728318508,27.509663459941223,0.0,12.65147377179338,0.0,0.0,345.0382100000001,332.3867362282067
2025-10-17,216.30107849965694,3.9,48.7,17.560106577616253,27.375494872179143,18.333022036743127,0.0,3.6975116859426147,0.0,0.0,335.86721367213806,332.16970198619543
2025-10-18,208.55082782390744,4.02,48.58,17.130913133950717,30.462596957555835,12.562775452277526,0.0,0.6677766323085598,0.0,0.0,321.97489000000013,321.30711336769156
2025-10-19,172.02364127401995,4.1,48.65,17.737902737643175,28.793466480337308,3.1063009455907187,0.0,0.4519385624089347,0.0,0.0,274.86325000000005,274.4113114375911
2026-02-16,126.62371995756695,3.0900000000000007,54.16,13.567890000438057,61.776212057226154,96.59032958569661,0.0,7.36681075660555,2.0477606672530584,0.0,363.17496235753333,355.8081516009278
2026-02-17,142.2870036464584,3.080000000000001,54.38,10.196414716252267,61.077915107642625,90.89227494418756,0.0,5.691022943581205,1.3532630110271575,0.0,367.60463135812205,361.9136084145408
2026-02-18,189.55750335796805,3.0700000000000007,54.29,11.100942951182587,32.62622181098236,79.59789569412258,0.0,5.06835697501185,0.8201664227913157,0.0,375.3109207892674,370.24256381425556
2026-02-19,134.97195233074206,3.070000000000001,54.23,11.51789913878785,54.623124072767624,117.80912527021296,0.0,4.121950772472777,1.0060691500057783,0.0,380.3440515849832,376.22210081251046
2026-02-20,137.50597565111426,3.000000000000001,54.28,10.704045406155288,46.101756222602866,124.90147129086894,0.0,5.834008209502114,1.3248706581348748,0.0,382.32725678024343,376.49324857074134
2026-02-21,197.9634156762515,3.0500000000000003,54.19,11.476002601239623,50.78725126864929,62.42831952519416,0.0,6.675645319503324,1.0414861622311486,0.0,386.5706343908379,379.8949890713346
2026-02-22,222.71464553199937,3.050000000000001,54.29,9.341237785730643,50.49924165138315,16.838213979427774,0.0,5.4621860478982365,0.0,0.0,362.1955249964392,356.73333894854096
