model_version,formulation,solver_status,solver_condition,week_start,week_end,warmup_days,lookahead_days,biomass_target_mwh,biomass_generation_mwh,biomass_target_error_mwh,solver_name,mip_rel_gap,reservoir_initial_soc_fraction,soc_boundary_tolerance_pu,observed_hydro_initial_soc_components,observed_hydro_terminal_soc_components,observed_hydro_store_initial_soc_components,observed_hydro_store_terminal_soc_components,observed_hydro_week_start_soc_components,observed_hydro_store_week_start_soc_components,monthly_interpolated_boundary_components,weekly_water_neutral_storage_units,weekly_water_neutral_stores,papanasam_observed_start_soc_mwh,papanasam_observed_end_soc_mwh,papanasam_observed_soc_change_mwh,max_abs_papanasam_observed_soc_error_mwh,servalar_generation_mwh,papanasam_generation_mwh,servalar_reservoir_weekly_neutral_error_mwh,papanasam_lower_pondage_weekly_neutral_error_mwh,max_abs_papanasam_cascade_nodal_residual_mw,max_abs_gas_target_deviation_mwh,max_abs_nuclear_target_deviation_mwh,max_abs_nodal_residual_mw,max_link_loading_pct,total_unserved_gwh,solver_runtime_seconds,run_mode,start_date,end_date
papanasam-servalar-topology-v2,continuous selected week with warm-up and look-ahead,ok,optimal,2025-04-07,2025-04-13,1,1,38110.9344,38110.934399999984,-1.4551915228366852e-11,highs,0.05,0.0,0.05,0,0,0,5,0,5,2,0,9,17160.368526,17070.087347999997,-90.28117800000109,0.0,921.7617404527991,933.7617404527989,0.0,0.0,1.3159251466277055e-11,1.8189894035458565e-12,0.0,2.5343449561177067e-10,100.00000000000088,0.0,1616.184295500003,selected_week,2025-04-07,2025-04-13
papanasam-servalar-topology-v2,continuous selected week with warm-up and look-ahead,ok,optimal,2025-07-07,2025-07-13,1,1,38110.9344,38110.93439999991,-8.731149137020111e-11,highs,0.05,0.0,0.05,0,0,0,5,0,5,2,0,9,32779.012319999994,29771.954621999997,-3007.057697999997,0.0,3360.0,4606.173519627311,0.0,-0.0,9.57101065068855e-12,1.8189894035458565e-12,0.0,8.567013765059528e-11,100.00000000000004,0.0,1852.9097565999982,selected_week,2025-07-07,2025-07-13
papanasam-servalar-topology-v2,continuous selected week with warm-up and look-ahead,ok,optimal,2025-10-13,2025-10-19,1,1,38110.9344,38110.934400000195,1.964508555829525e-10,highs,0.05,0.0,0.05,0,0,0,5,0,5,2,0,9,15736.703795999996,6937.761293999998,-8798.942501999998,0.0,3360.0,5376.0,0.0,-0.0,3.161915174132446e-13,1.3642420526593924e-12,0.0,1.205986421837224e-10,100.00000000002909,0.0,2000.2361241000035,selected_week,2025-10-13,2025-10-19
papanasam-servalar-topology-v2,continuous selected week with warm-up and look-ahead,ok,optimal,2026-02-16,2026-02-22,1,1,38110.9344,38110.93440000003,2.9103830456733704e-11,highs,0.05,0.0,0.05,0,0,0,5,0,5,2,0,9,18799.319142,15917.266151999998,-2882.052990000002,0.0,3360.0,3723.658481832874,0.0,-0.0,6.373568339768099e-12,1.3642420526593924e-12,0.0,2.0909884934638967e-10,100.0,0.0,1131.134697100002,selected_week,2026-02-16,2026-02-22
