carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
coal,5087.698341517919,5177.310000000001,-89.61165848208202,-1.730853637933251
oil_gas,101.06000000000002,101.05999999999997,4.263256414560601e-14,4.218539891708492e-14
nuclear,1480.89,1480.89,0.0,0.0
hydro,376.0757960753242,380.0,-3.924203924675794,-1.0326852433357352
solar,1370.0444963804257,1036.0,334.0444963804257,32.243677256797845
wind,2063.763957039259,1463.6999999999998,600.0639570392591,40.99637610434237
comparable_total,10479.532591012927,9638.96,840.5725910129277,8.720573495614959
