date,coal,oil_gas,nuclear,hydro,solar,wind,comparable_total,diesel,other_res,system_plant_generation,market_import,unserved_energy,oil_gas_daily_target_mu,oil_gas_annual_share,oil_gas_target_deviation_mwh,nuclear_target_deviation_mwh,objective,solver_status,termination_condition,runtime_seconds,max_nodal_residual_mw,max_corridor_loading_pct,most_loaded_corridor
2025-07-01,202.80762224290987,3.850000000000002,54.64,28.81860770276203,58.19344041153731,70.49429379830273,418.803964155512,0.0,0.6938370568236982,419.49780121233573,4.107121092173311,0.0,3.85,0.0031012122920778,1.8189894035458565e-12,0.0,782233395.2939923,ok,optimal,10.934038100007456,4.092726157978177e-12,100.0,chennai_north__vellore
2025-07-02,197.3054491339556,3.8000000000000016,54.38,28.64179792716054,58.183159515865455,69.77563129063142,412.08603786761296,0.0,0.6938370568236982,412.77987492443674,4.03676516057042,0.0,3.8,0.0030609368077651,1.8189894035458565e-12,0.0,763072521.7962599,ok,optimal,9.462218999979086,3.410605131648481e-12,100.0,chennai_north__chennai_south
2025-07-03,194.54983938175425,3.470000000000001,53.99,29.30258576510794,58.17197162959872,66.6052702314124,406.08966700787335,0.0,0.6938370568236982,406.78350406469707,4.251410817744366,0.0,3.47,0.0027951186113013,9.094947017729282e-13,0.0,751339729.7031476,ok,optimal,10.985757999995258,4.547473508864641e-12,100.0,chennai_north__vellore
2025-07-04,203.65202982386134,3.3800000000000003,53.92,29.17786311755463,58.159878516001214,62.46665779489276,410.7564292523099,0.0,0.6938370568236982,411.45026630913367,5.088745263866092,0.0,3.38,0.0027226227395384,4.547473508864641e-13,0.0,785124103.3012769,ok,optimal,10.406259100011084,3.183231456205249e-12,100.0,chennai_north__vellore
2025-07-05,206.8868211900653,3.450000000000001,54.01,28.953181981541693,58.14688208635072,59.296296735673614,410.7431819936313,0.0,0.6938370568236982,411.437019050455,4.545051102528532,0.0,3.45,0.0027790084175762,9.094947017729282e-13,0.0,792907196.7191852,ok,optimal,9.833413199987262,3.637978807091713e-12,100.0,chennai_north__chennai_south
2025-07-06,181.05175695634873,3.3999999999999995,54.31,28.916700706694613,58.13298440088402,58.57763422800224,384.3890762919296,0.0,0.6938370568236988,385.0829133487533,4.048895210671424,0.0,3.4,0.0027387329332635,-4.547473508864641e-13,0.0,714449517.0050414,ok,optimal,23.455438199976925,2.7284841053187847e-12,100.0,chennai_north__vellore
2025-07-07,211.33444674937635,3.7900000000000014,54.09,28.58755852977944,58.11818766980864,60.64694044626219,416.5671333952266,0.0,0.6938370568236982,417.2609704520504,2.6806603862303886,0.0,3.79,0.0030528817109025,1.3642420526593924e-12,0.0,800800507.6567897,ok,optimal,14.069686400005594,3.865352482534945e-12,100.0,chennai_north__chennai_south
2025-07-08,209.87841643654932,3.720000000000001,54.11,29.72986808004486,58.10249425437985,64.5359640131525,420.0767427841265,0.0,0.6938370568236982,420.77057984095023,6.234015061358779,0.0,3.72,0.0029964960328647,9.094947017729282e-13,0.0,820424441.439939,ok,optimal,18.262970599986147,2.7284841053187847e-12,100.0,chennai_north__chennai_south
2025-07-09,222.06373334435472,3.7500000000000013,54.13,28.30391231522872,58.08590666804173,68.42498758004282,434.758539907668,0.0,0.6938370568236982,435.4523769644917,3.528686105600619,0.0,3.75,0.0030206613234524,1.3642420526593924e-12,0.0,841071515.3891237,ok,optimal,17.192432500014547,4.092726157978177e-12,100.0,chennai_north__chennai_south
2025-07-10,213.09712952115206,3.580000000000002,54.01,28.942059932721275,58.06842757763108,70.49429379830275,428.1919108298072,0.0,0.6938370568236982,428.8857478866309,4.280438920745626,0.0,3.58,0.0028837246767892,1.8189894035458565e-12,0.0,815064898.7994883,ok,optimal,16.7691710999934,3.410605131648481e-12,100.0,chennai_north__chennai_south
2025-07-11,217.25720959808987,3.540000000000002,54.07,28.804563996633085,58.050059804642714,69.77563129063145,431.4974646899971,0.0,0.6938370568236982,432.1913017468209,5.117965925026958,0.0,3.54,0.002851504289339,1.8189894035458565e-12,0.0,833598129.5095242,ok,optimal,17.084843899996486,2.7284841053187847e-12,100.0,chennai_north__chennai_south
2025-07-12,208.5661702726395,3.4900000000000015,54.19,28.875816462034564,58.030806326554945,66.60527023141238,419.7580632926414,0.0,0.6938370568236982,420.4519003494651,4.024302904134542,0.0,3.49,0.0028112288050263,1.3642420526593924e-12,0.0,794113668.8096012,ok,optimal,17.04630540002836,2.9558577807620168e-12,100.0,chennai_north__chennai_south
2025-07-13,172.55456857223754,3.2500000000000004,54.26,29.27911313155785,58.01067027821332,62.46665779489272,379.8210097769014,0.0,0.6938370568236982,380.51484683372513,5.987957256778661,0.0,3.25,0.0026179064803254,4.547473508864641e-13,0.0,701028709.5030648,ok,optimal,21.653737400018144,4.092726157978177e-12,100.0,chennai_north__vellore
2025-07-14,199.54353734318988,3.3800000000000003,54.12,28.3129495713696,57.989654953271526,59.29629673567359,402.64243860350456,0.0,0.6938370568236982,403.3362756603283,2.6092139799401526,0.0,3.38,0.0027226227395384,4.547473508864641e-13,0.0,764212761.9509498,ok,optimal,18.989241899980698,2.9558577807620168e-12,100.0,chennai_north__chennai_south
2025-07-15,210.31927386402577,3.33,54.18,27.64231585188966,57.96776380568743,58.57763422800221,412.01698774960505,0.0,0.6938370568236982,412.7108248064288,4.12279605636502,0.0,3.33,0.0026823472552257,0.0,0.0,804741641.9239159,ok,optimal,20.207589099998586,2.9558577807620168e-12,100.0,chennai_north__vellore
2025-07-16,218.1531924202666,3.5600000000000014,54.03,28.953208850488604,57.94500045127237,60.64694044626208,423.28834216828966,0.0,0.6938370568236982,423.9821792251134,3.993002347886388,0.0,3.56,0.0028676144830641,1.3642420526593924e-12,0.0,826408688.0459083,ok,optimal,16.76630809996277,2.0463630789890885e-12,100.0,chennai_north__chennai_south
2025-07-17,198.83787733872379,3.400000000000001,53.99,28.59465190481994,57.92136866929225,64.53596401315255,407.2798619259885,0.0,0.6938370568236982,407.97369898281227,4.270548574269161,0.0,3.4,0.0027387329332635,9.094947017729282e-13,0.0,767665899.6554933,ok,optimal,20.634970300015993,4.774847184307873e-12,100.0,chennai_north__vellore
2025-07-18,189.57668567111196,3.600000000000002,54.0,28.68390332744757,57.896872404118156,68.42498758004285,402.18244898272053,0.0,0.6938370568236982,402.8762860395443,3.9469957958216773,0.0,3.6,0.0028998348705143,1.8189894035458565e-12,0.0,737970350.3014538,ok,optimal,15.536662700003944,4.547473508864641e-12,100.0,chennai_north__chennai_south
2025-07-19,160.72927419169994,3.8300000000000014,54.02,27.90241658114076,57.87151576692447,70.49429379830275,374.84750033806796,0.0,0.6938370568236982,375.5413373948916,3.978697560477129,0.0,3.83,0.0030851020983527,1.3642420526593924e-12,0.0,653924950.0886874,ok,optimal,10.829926899983548,3.069544618483633e-12,100.0,chennai_north__vellore
2025-07-20,129.17043829580282,3.8100000000000023,54.05,29.17786311755463,57.84530303743242,69.77563129063142,343.82923574142126,0.0,0.6938370568236982,344.52307279824504,3.4520987747547793,0.0,3.81,0.0030689919046276,2.2737367544323206e-12,0.0,546539068.7157406,ok,optimal,10.20841920003295,3.637978807091713e-12,100.0,chennai_north__chennai_south
2025-07-21,154.60117653771732,3.5000000000000013,53.86,28.379888434265915,57.81823866569681,66.60527023141232,364.7645738690924,0.0,0.6938370568236982,365.4584109259161,2.239552292972817,0.0,3.5,0.0028192839018889,1.3642420526593924e-12,0.0,608263247.5490443,ok,optimal,10.85338549996959,2.7284841053187847e-12,100.0,chennai_north__vellore
2025-07-22,162.87061113939632,3.6400000000000037,53.95,29.632582825125326,57.790327273933634,62.46665779489267,370.350179033348,0.0,0.6938370568236982,371.0440160901717,3.8067551172914738,0.0,3.64,0.0029320552579644,3.637978807091713e-12,0.0,652795043.2763488,ok,optimal,10.190295499982312,3.183231456205249e-12,100.0,chennai_north__chennai_south
2025-07-23,173.9469799737743,3.6800000000000015,53.84,28.126808653069997,57.76157365838594,59.29629673567356,376.65165902090376,0.0,0.6938370568236982,377.3454960777275,3.141310342631401,0.0,3.68,0.0029642756454146,1.3642420526593924e-12,0.0,680586764.0353338,ok,optimal,11.000765599950682,3.637978807091713e-12,100.0,chennai_north__vellore
2025-07-24,178.93416525050017,3.5300000000000007,53.61,28.811053775578085,57.73198279122582,58.57763422800221,381.1948360453064,0.0,0.6938370568236982,381.88867310213,2.784816793399077,0.0,3.53,0.0028434491924765,9.094947017729282e-13,0.0,691829994.1526772,ok,optimal,9.21381000004476,2.9558577807620168e-12,100.0,chennai_north__chennai_south
2025-07-25,174.00718817290826,3.7800000000000007,53.47,29.191800020645093,57.701559822489465,60.646940446261986,378.7974884623048,0.0,0.6938370568236982,379.49132551912845,3.844727182734335,0.0,3.78,0.00304482661404,9.094947017729282e-13,0.0,681672432.2416258,ok,optimal,10.879286999988835,2.5011104298755527e-12,100.0,chennai_north__vellore
2025-07-26,172.95590565634245,3.8500000000000014,53.31,29.048742140586068,57.67031008204292,64.53596401315241,381.3709218921239,0.0,0.6938370568236982,382.0647589489476,3.3335014028414944,0.0,3.85,0.0031012122920778,1.3642420526593924e-12,0.0,675807058.5868877,ok,optimal,9.490780199994333,2.9558577807620168e-12,100.0,chennai_north__chennai_south
2025-07-27,137.4990368098559,3.7800000000000007,53.04,28.912210414652836,57.63823908157542,68.42498758004287,349.294473886127,0.0,0.6938370568236982,349.98831094295076,4.876380630049045,0.0,3.78,0.00304482661404,9.094947017729282e-13,0.0,583173891.3261108,ok,optimal,10.266143699991517,3.865352482534945e-12,100.0,chennai_north__chennai_south
2025-07-28,181.8399781946326,3.8900000000000015,52.77,28.849572949727616,57.6053525166178,70.49429379830276,395.4491974592808,0.0,0.6938370568236982,396.1430345161045,3.096324347111506,0.0,3.89,0.0031334326795279,1.3642420526593924e-12,0.0,708514795.5825979,ok,optimal,14.038265899987891,2.5011104298755527e-12,100.0,chennai_north__chennai_south
2025-07-29,194.04765139294588,3.880000000000002,52.76,27.902989387006798,57.57165626858244,69.77563129063141,405.9379283391665,0.0,0.6938370568236982,406.6317653959902,3.961484149199628,0.0,3.88,0.0031253775826654,2.2737367544323206e-12,0.0,753999114.1262572,ok,optimal,17.729275699995924,3.410605131648481e-12,100.0,chennai_north__vellore
2025-07-30,213.16018885161526,3.860000000000001,52.41,28.625645946682553,57.53715640682219,66.6052702314123,422.19826143653233,0.0,0.6938370568236982,422.892098493356,4.088711616053622,0.0,3.86,0.0031092673889403,1.3642420526593924e-12,0.0,814528252.9430043,ok,optimal,19.188482100027613,4.774847184307873e-12,100.0,chennai_north__chennai_south
