date,technology,modeled_mu,observed_mu,error_mu,error_pct
2025-07-01,coal,202.80762224290987,181.2,21.607622242909883,11.924736337146735
2025-07-01,oil_gas,3.850000000000002,3.85,1.7763568394002505e-15,4.613913868572079e-14
2025-07-01,nuclear,54.64,54.64,0.0,0.0
2025-07-01,hydro,28.81860770276203,23.33,5.488607702762032,23.525965292593366
2025-07-01,solar,58.19344041153731,42.4,15.793440411537311,37.248680215889884
2025-07-01,wind,70.49429379830273,123.78,-53.285706201697266,-43.04872047317601
2025-07-01,comparable_total,418.803964155512,429.2,-10.396035844487983,-2.422189152956194
2025-07-02,coal,197.3054491339556,181.73,15.575449133955601,8.570653790764101
2025-07-02,oil_gas,3.8000000000000016,3.8,1.7763568394002505e-15,4.674623261579607e-14
2025-07-02,nuclear,54.38,54.38,0.0,0.0
2025-07-02,hydro,28.64179792716054,23.89,4.751797927160538,19.890322005695012
2025-07-02,solar,58.183159515865455,35.32,22.863159515865455,64.73148220799959
2025-07-02,wind,69.77563129063142,138.6,-68.82436870936857,-49.656831680641105
2025-07-02,comparable_total,412.08603786761296,437.72,-25.63396213238707,-5.856246489168205
2025-07-03,coal,194.54983938175425,181.51,13.039839381754263,7.184088690294895
2025-07-03,oil_gas,3.470000000000001,3.47,8.881784197001252e-16,2.5595919876084298e-14
2025-07-03,nuclear,53.99,53.99,0.0,0.0
2025-07-03,hydro,29.30258576510794,26.61,2.692585765107939,10.11869885421999
2025-07-03,solar,58.17197162959872,34.32,23.851971629598722,69.49875183449511
2025-07-03,wind,66.6052702314124,115.86,-49.254729768587595,-42.512281864826164
2025-07-03,comparable_total,406.08966700787335,415.76,-9.670332992126646,-2.325941166087802
2025-07-04,coal,203.65202982386134,176.48,27.17202982386135,15.396662411526151
2025-07-04,oil_gas,3.3800000000000003,3.38,4.440892098500626e-16,1.3138734019232622e-14
2025-07-04,nuclear,53.92,53.92,0.0,0.0
2025-07-04,hydro,29.17786311755463,26.11,3.06786311755463,11.749762993315318
2025-07-04,solar,58.159878516001214,42.51,15.649878516001216,36.814581312635184
