,modeled_mu,observed_mu,error_mu,error_pct
coal,5914.080373326186,5151.19,762.8903733261868,14.809983194682916
oil_gas,112.56000000000004,112.55999999999999,5.684341886080802e-14,5.0500549805266544e-14
nuclear,1667.66,1667.66,0.0,0.0
hydro,892.0792302500116,827.5400000000001,64.53923025001154,7.7989257618981
solar,1795.2206039855855,1285.3,509.92060398558556,39.673275031944726
wind,2011.8128814703566,4323.47,-2311.6571185296434,-53.467634065453055
comparable_total,12393.413089032138,13367.719999999998,-974.30691096786,-7.2885047784353665
