date,AMARAVATHI__current_storage_mcft,Aliyar__current_storage_mcft,BHAVANISAGAR__current_storage_mcft,Harangi__current_storage_mcft,Hemavathy__current_storage_mcft,Kabini__current_storage_mcft,Krishna Raja Sagar__current_storage_mcft,Krishnagiri__current_storage_mcft,METTUR__current_storage_mcft,Manimuthar__current_storage_mcft,Papanasam (TN EB Dam)__current_storage_mcft,Parambikulam__current_storage_mcft,Pechiparai__current_storage_mcft,Periyar__current_storage_mcft,Perunchani__current_storage_mcft,Sathanur__current_storage_mcft,Sholayar__current_storage_mcft,Thirumurthy__current_storage_mcft,Vaigai__current_storage_mcft,AMARAVATHI__storage_fraction_gross,Aliyar__storage_fraction_gross,BHAVANISAGAR__storage_fraction_gross,Harangi__storage_fraction_gross,Hemavathy__storage_fraction_gross,Kabini__storage_fraction_gross,Krishna Raja Sagar__storage_fraction_gross,Krishnagiri__storage_fraction_gross,METTUR__storage_fraction_gross,Manimuthar__storage_fraction_gross,Papanasam (TN EB Dam)__storage_fraction_gross,Parambikulam__storage_fraction_gross,Pechiparai__storage_fraction_gross,Periyar__storage_fraction_gross,Perunchani__storage_fraction_gross,Sathanur__storage_fraction_gross,Sholayar__storage_fraction_gross,Thirumurthy__storage_fraction_gross,Vaigai__storage_fraction_gross,AMARAVATHI__current_inflow_cusec,Aliyar__current_inflow_cusec,BHAVANISAGAR__current_inflow_cusec,Harangi__current_inflow_cusec,Hemavathy__current_inflow_cusec,Kabini__current_inflow_cusec,Krishna Raja Sagar__current_inflow_cusec,Krishnagiri__current_inflow_cusec,METTUR__current_inflow_cusec,Manimuthar__current_inflow_cusec,Papanasam (TN EB Dam)__current_inflow_cusec,Parambikulam__current_inflow_cusec,Pechiparai__current_inflow_cusec,Periyar__current_inflow_cusec,Perunchani__current_inflow_cusec,Sathanur__current_inflow_cusec,Sholayar__current_inflow_cusec,Thirumurthy__current_inflow_cusec,Vaigai__current_inflow_cusec,AMARAVATHI__inflow_mcft_per_day,Aliyar__inflow_mcft_per_day,BHAVANISAGAR__inflow_mcft_per_day,Harangi__inflow_mcft_per_day,Hemavathy__inflow_mcft_per_day,Kabini__inflow_mcft_per_day,Krishna Raja Sagar__inflow_mcft_per_day,Krishnagiri__inflow_mcft_per_day,METTUR__inflow_mcft_per_day,Manimuthar__inflow_mcft_per_day,Papanasam (TN EB Dam)__inflow_mcft_per_day,Parambikulam__inflow_mcft_per_day,Pechiparai__inflow_mcft_per_day,Periyar__inflow_mcft_per_day,Perunchani__inflow_mcft_per_day,Sathanur__inflow_mcft_per_day,Sholayar__inflow_mcft_per_day,Thirumurthy__inflow_mcft_per_day,Vaigai__inflow_mcft_per_day,AMARAVATHI__current_outflow_cusec,Aliyar__current_outflow_cusec,BHAVANISAGAR__current_outflow_cusec,Harangi__current_outflow_cusec,Hemavathy__current_outflow_cusec,Kabini__current_outflow_cusec,Krishna Raja Sagar__current_outflow_cusec,Krishnagiri__current_outflow_cusec,METTUR__current_outflow_cusec,Manimuthar__current_outflow_cusec,Papanasam (TN EB Dam)__current_outflow_cusec,Parambikulam__current_outflow_cusec,Pechiparai__current_outflow_cusec,Periyar__current_outflow_cusec,Perunchani__current_outflow_cusec,Sathanur__current_outflow_cusec,Sholayar__current_outflow_cusec,Thirumurthy__current_outflow_cusec,Vaigai__current_outflow_cusec,AMARAVATHI__outflow_mcft_per_day,Aliyar__outflow_mcft_per_day,BHAVANISAGAR__outflow_mcft_per_day,Harangi__outflow_mcft_per_day,Hemavathy__outflow_mcft_per_day,Kabini__outflow_mcft_per_day,Krishna Raja Sagar__outflow_mcft_per_day,Krishnagiri__outflow_mcft_per_day,METTUR__outflow_mcft_per_day,Manimuthar__outflow_mcft_per_day,Papanasam (TN EB Dam)__outflow_mcft_per_day,Parambikulam__outflow_mcft_per_day,Pechiparai__outflow_mcft_per_day,Periyar__outflow_mcft_per_day,Perunchani__outflow_mcft_per_day,Sathanur__outflow_mcft_per_day,Sholayar__outflow_mcft_per_day,Thirumurthy__outflow_mcft_per_day,Vaigai__outflow_mcft_per_day,Aliyar__calibrated_live_storage_bcm,BHAVANISAGAR__calibrated_live_storage_bcm,METTUR__calibrated_live_storage_bcm,Manimuthar__calibrated_live_storage_bcm,Parambikulam__calibrated_live_storage_bcm,Sathanur__calibrated_live_storage_bcm,Sholayar__calibrated_live_storage_bcm,Vaigai__calibrated_live_storage_bcm,Aliyar__live_soc_fraction,BHAVANISAGAR__live_soc_fraction,METTUR__live_soc_fraction,Manimuthar__live_soc_fraction,Parambikulam__live_soc_fraction,Sathanur__live_soc_fraction,Sholayar__live_soc_fraction,Vaigai__live_soc_fraction
2025-04-01,1067.0,763.0,14198.0,3566.0,19849.0,11775.0,27248.0,1262.0,75723.0,2559.0,2625.0,8890.0,1948.0,1392.0,199.0,3784.0,20.0,822.0,3029.0,0.2636520879663949,0.19746376811594202,0.4328658536585366,0.4195294117647059,0.5349702180416678,0.6033510965361755,0.5509989484752892,0.7575030012004802,0.8101315930244999,0.4643440391943386,0.4772727272727273,0.6630369928400954,0.447816091954023,0.13169347209082308,0.06885813148788927,0.5168692801529846,0.003963535473642489,0.4713302752293578,0.49729108520768345,19.0,314.0,205.0,84.0,21.0,78.0,89.0,171.0,588.0,213.0,180.0,30.0,42.0,105.0,27.0,,10.0,765.0,,1.6416000000000002,27.1296,17.712,7.2576,1.8144,6.7392,7.6896,14.7744,50.803200000000004,18.403200000000002,15.552000000000001,2.592,3.6288,9.072000000000001,2.3328,,0.8640000000000001,66.096,,,580.0,3550.0,100.0,330.0,600.0,4082.0,171.0,1004.0,,800.0,1120.0,,105.0,22.0,1120.0,10.0,956.0,722.0,,50.112,306.72,8.64,28.512,51.84,352.6848,14.7744,86.74560000000001,,69.12,96.768,,9.072000000000001,1.9008,96.768,0.8640000000000001,82.5984,62.3808,0.007189753949696001,0.40204258791321607,2.1442365744860163,0.072462810428928,0.25173676620288005,0.10715094750412801,0.0005663369318400001,0.085771728327168,0.07568162052311579,0.5076295301934546,0.810062929537596,0.4645051950572308,0.6624651742181054,0.517637427556174,0.003960398124755246,0.49867283911144195
2025-04-02,1067.0,741.0,13889.0,3550.0,19736.0,11706.0,26398.0,1252.0,75639.0,2499.0,2436.0,8788.0,1959.0,1392.0,198.0,3739.0,20.0,801.0,2955.0,0.2636520879663949,0.19177018633540371,0.4234451219512195,0.4176470588235294,0.53192464221222,0.5998155359704858,0.533810563779018,0.751500600240096,0.8092329089547449,0.45345672291780076,0.4429090909090909,0.6554295942720764,0.4503448275862069,0.13169347209082308,0.0685121107266436,0.5107225788826663,0.003963535473642489,0.4592889908256881,0.485142012805779,13.0,314.0,161.0,84.0,22.0,49.0,122.0,81.0,425.0,105.0,76.0,29.0,156.0,105.0,30.0,,10.0,716.0,,1.1232,27.1296,13.910400000000001,7.2576,1.9008,4.2336,10.5408,6.9984,36.72,9.072000000000001,6.566400000000001,2.5056000000000003,13.4784,9.072000000000001,2.592,,0.8640000000000001,61.8624,,,563.0,3600.0,100.0,330.0,0.0,793.0,171.0,1003.0,,300.0,1210.0,,105.0,22.0,520.0,10.0,956.0,722.0,,48.6432,311.04,8.64,28.512,0.0,68.51520000000001,14.7744,86.6592,,25.92,104.54400000000001,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,82.5984,62.3808,0.0065667833246720025,0.39329268231628806,2.141857959372288,0.07076379963340801,0.24884844785049604,0.10587668940748801,0.0005663369318400001,0.08367628167936,0.06912403499654739,0.49658166959127276,0.8091643216366786,0.4536141002141539,0.6548643364486738,0.5114815913405218,0.003960398124755246,0.486490009763721
2025-04-03,1067.0,734.0,13596.0,3545.0,19696.0,11618.0,26319.0,1248.0,75555.0,2504.0,2434.0,8695.0,1969.0,1392.0,198.0,3638.0,20.0,779.0,2949.0,0.2636520879663949,0.18995859213250518,0.4145121951219512,0.41705882352941176,0.5308465622725925,0.5953064152490264,0.5322130550837175,0.7490996398559424,0.8083342248849898,0.4543639992741789,0.4425454545454545,0.6484934367541766,0.45264367816091955,0.13169347209082308,0.0685121107266436,0.4969266493648409,0.003963535473642489,0.4466743119266055,0.4841569528813003,13.0,397.0,261.0,72.0,37.0,79.0,71.0,137.0,425.0,62.0,373.0,132.0,146.0,105.0,30.0,,10.0,721.0,68.0,1.1232,34.3008,22.5504,6.2208000000000006,3.1968,6.8256000000000006,6.1344,11.8368,36.72,5.356800000000001,32.2272,11.4048,12.6144,9.072000000000001,2.592,,0.8640000000000001,62.2944,5.8752,,470.0,3517.0,100.0,422.0,950.0,793.0,171.0,1003.0,,300.0,1190.0,,105.0,22.0,1209.0,10.0,956.0,72.0,,40.608000000000004,303.8688,8.64,36.4608,82.08,68.51520000000001,14.7744,86.6592,,25.92,102.816,,9.072000000000001,1.9008,104.4576,0.8640000000000001,82.5984,6.2208000000000006,0.006368565398528004,0.384995846264832,2.13947934425856,0.07090538386636801,0.24621498111744003,0.103016687901696,0.0005663369318400001,0.08350638059980801,0.06703753051082109,0.486105866496,0.8082657137357613,0.45452169145107696,0.6479341608353685,0.4976651589453914,0.003960398124755246,0.4855022127895815
2025-04-04,1067.0,727.0,13405.0,3546.0,19660.0,11508.0,26249.0,1243.0,75472.0,2508.0,2417.0,8603.0,1972.0,1417.0,197.0,3595.0,20.0,758.0,2949.0,0.2636520879663949,0.18814699792960662,0.4086890243902439,0.4171764705882353,0.5298762903269277,0.5896700143472023,0.530797541049907,0.7460984393757503,0.8074462394351128,0.4550898203592814,0.43945454545454543,0.641631861575179,0.4533333333333333,0.13405865657521288,0.06816608996539793,0.49105313481764784,0.003963535473642489,0.43463302752293576,0.4841569528813003,13.0,351.0,1298.0,144.0,17.0,57.0,173.0,134.0,436.0,53.0,143.0,69.0,59.0,396.0,30.0,,10.0,716.0,110.0,1.1232,30.326400000000003,112.14720000000001,12.441600000000001,1.4688,4.9248,14.9472,11.5776,37.6704,4.5792,12.3552,5.961600000000001,5.0976,34.214400000000005,2.592,,0.8640000000000001,61.8624,9.504000000000001,,424.0,3375.0,100.0,355.0,1200.0,793.0,171.0,1003.0,,300.0,1125.0,,105.0,22.0,520.0,10.0,956.0,72.0,,36.6336,291.6,8.64,30.672,103.68,68.51520000000001,14.7744,86.6592,,25.92,97.2,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,82.5984,6.2208000000000006,0.006170347472384001,0.37958732856576005,2.1371290459914243,0.071018651252736,0.24360983123097601,0.10179906349824001,0.0005663369318400001,0.08350638059980801,0.06495102602509475,0.4792769300072728,0.8073778035479503,0.4552477644406154,0.6410785032394105,0.4917829154504349,0.003960398124755246,0.4855022127895815
2025-04-05,1078.0,717.0,13405.0,3544.0,19632.0,11373.0,26178.0,1238.0,75389.0,2513.0,2451.0,8511.0,2038.0,1442.0,200.0,3553.0,20.0,754.0,2955.0,0.266370150728935,0.18555900621118013,0.4086890243902439,0.41694117647058826,0.5291216343691885,0.5827526132404182,0.529361805387042,0.7430972388955582,0.806558253985236,0.4559970967156596,0.44563636363636366,0.6347702863961814,0.4685057471264368,0.13642384105960265,0.06920415224913495,0.4853162136320175,0.003963535473642489,0.4323394495412844,0.485142012805779,137.0,179.0,2918.0,108.0,51.0,76.0,50.0,138.0,436.0,71.0,1016.0,97.0,793.0,396.0,72.0,,10.0,804.0,180.0,11.8368,15.4656,252.11520000000002,9.3312,4.4064000000000005,6.566400000000001,4.32,11.923200000000001,37.6704,6.1344,87.78240000000001,8.3808,68.51520000000001,34.214400000000005,6.2208000000000006,,0.8640000000000001,69.46560000000001,15.552000000000001,,291.0,2784.0,100.0,300.0,1500.0,670.0,171.0,1003.0,,300.0,1150.0,,105.0,22.0,520.0,10.0,838.0,72.0,,25.142400000000002,240.53760000000003,8.64,25.92,129.6,57.888000000000005,14.7744,86.6592,,25.92,99.36,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,72.4032,6.2208000000000006,0.0058871790064640005,0.37958732856576005,2.134778747724288,0.07116023548569601,0.24100468134451203,0.10060975594137601,0.0005663369318400001,0.08367628167936,0.06197030533120001,0.4792769300072728,0.8064898933601391,0.45615535567753857,0.6342228456434527,0.48603746831582617,0.003960398124755246,0.486490009763721
2025-04-06,1092.0,715.0,13481.0,3544.0,19632.0,11373.0,26178.0,1238.0,75306.0,2536.0,2468.0,8430.0,2056.0,1476.0,203.0,3553.0,20.0,786.0,2966.0,0.2698295033358043,0.18504140786749482,0.4110060975609756,0.41694117647058826,0.5291216343691885,0.5827526132404182,0.529361805387042,0.7430972388955582,0.805670268535359,0.4601705679549991,0.44872727272727275,0.6287291169451074,0.47264367816091957,0.13964049195837275,0.07024221453287197,0.4853162136320175,0.003963535473642489,0.4506880733944954,0.4869479560006567,178.0,172.0,1960.0,108.0,51.0,76.0,50.0,193.0,436.0,279.0,381.0,215.0,233.0,493.0,72.0,520.0,10.0,854.0,238.0,15.3792,14.860800000000001,169.34400000000002,9.3312,4.4064000000000005,6.566400000000001,4.32,16.6752,37.6704,24.105600000000003,32.9184,18.576,20.1312,42.595200000000006,6.2208000000000006,44.928000000000004,0.8640000000000001,73.7856,20.563200000000002,,186.0,946.0,100.0,300.0,1500.0,670.0,171.0,1003.0,,300.0,1150.0,,105.0,22.0,520.0,10.0,475.0,72.0,,16.0704,81.73440000000001,8.64,25.92,129.6,57.888000000000005,14.7744,86.6592,,25.92,99.36,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,41.04,6.2208000000000006,0.00583054531328,0.381739408906752,2.1324284494571524,0.07181152295731201,0.23871101677056003,0.10060975594137601,0.0005663369318400001,0.083987766991872,0.061374161192421055,0.4819942031650909,0.8056019831723281,0.4603302753673847,0.6281868862383159,0.48603746831582617,0.003960398124755246,0.4883009708829768
2025-04-07,1105.0,717.0,13429.0,3544.0,19632.0,11373.0,26178.0,1238.0,75209.0,2549.0,2471.0,8340.0,2058.0,1509.0,209.0,3510.0,20.0,829.0,3000.0,0.2730417593278972,0.18555900621118013,0.4094207317073171,0.41694117647058826,0.5291216343691885,0.5827526132404182,0.529361805387042,0.7430972388955582,0.8046325024071894,0.46252948648158226,0.44927272727272727,0.622016706443914,0.4731034482758621,0.14276253547776727,0.07231833910034602,0.47944269908482445,0.003963535473642489,0.47534403669724773,0.49252996223936957,156.0,312.0,799.0,108.0,51.0,76.0,50.0,193.0,275.0,158.0,230.0,76.0,51.0,493.0,105.0,,10.0,831.0,504.0,13.4784,26.9568,69.0336,9.3312,4.4064000000000005,6.566400000000001,4.32,16.6752,23.76,13.651200000000001,19.872,6.566400000000001,4.4064000000000005,42.595200000000006,9.072000000000001,,0.8640000000000001,71.7984,43.5456,,286.0,1267.0,100.0,300.0,1500.0,670.0,171.0,1004.0,,300.0,1100.0,,105.0,22.0,520.0,10.0,321.0,72.0,,24.7104,109.4688,8.64,25.92,129.6,57.888000000000005,14.7744,86.74560000000001,,25.92,95.04,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,27.7344,6.2208000000000006,0.0058871790064640005,0.380266932883968,2.1296817153377283,0.07217964196300801,0.23616250057728003,0.09939213153792001,0.0005663369318400001,0.084950539776,0.06197030533120001,0.4801350162676364,0.8045643050010308,0.46269001258338466,0.6214802646770526,0.48015522482086964,0.003960398124755246,0.4938984870697675
2025-04-08,1123.0,717.0,13409.0,3539.0,19783.0,11024.0,25988.0,1238.0,75306.0,2565.0,2473.0,8267.0,2069.0,1543.0,210.0,3468.0,20.0,869.0,3035.0,0.277489498393872,0.18555900621118013,0.4088109756097561,0.4163529411764706,0.5331913861412824,0.564869850379176,0.525519695866699,0.7430972388955582,0.805670268535359,0.46543277082199236,0.4496363636363636,0.6165721957040573,0.47563218390804596,0.14597918637653737,0.0726643598615917,0.4737057778991941,0.003963535473642489,0.49827981651376146,0.49827614513216223,228.0,249.0,545.0,115.0,760.0,80.0,159.0,193.0,2520.0,194.0,219.0,194.0,153.0,493.0,50.0,,10.0,790.0,516.0,19.6992,21.5136,47.088,9.936,65.664,6.912000000000001,13.7376,16.6752,217.728,16.7616,18.9216,16.7616,13.2192,42.595200000000006,4.32,,0.8640000000000001,68.256,44.5824,,243.0,300.0,100.0,300.0,1200.0,665.0,171.0,1003.0,,300.0,1030.0,,105.0,22.0,520.0,10.0,321.0,72.0,,20.9952,25.92,8.64,25.92,103.68,57.456,14.7744,86.6592,,25.92,88.992,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,27.7344,6.2208000000000006,0.0058871790064640005,0.379700595952128,2.1324284494571524,0.07263271150848001,0.23409537077606402,0.09820282398105601,0.0005663369318400001,0.08594162940672001,0.06197030533120001,0.479419944384,0.8056019831723281,0.46559430454153855,0.6160404494106948,0.4744097776862609,0.003960398124755246,0.4996606360855815
2025-04-09,1125.0,715.0,13409.0,3538.0,19783.0,10916.0,25920.0,1238.0,75347.0,2572.0,2458.0,8170.0,2074.0,1543.0,211.0,3420.0,20.0,911.0,3046.0,0.27798369162342473,0.18504140786749482,0.4088109756097561,0.41623529411764704,0.5331913861412824,0.5593359294937488,0.5241446250909974,0.7430972388955582,0.8061089119503584,0.4667029577209218,0.4469090909090909,0.6093377088305489,0.4767816091954023,0.14597918637653737,0.07301038062283736,0.46714929654418796,0.003963535473642489,0.5223623853211009,0.5000820883270399,50.0,184.0,559.0,121.0,375.0,79.0,60.0,193.0,1872.0,98.0,92.0,35.0,85.0,105.0,41.0,,10.0,815.0,238.0,4.32,15.8976,48.2976,10.4544,32.4,6.8256000000000006,5.184,16.6752,161.7408,8.4672,7.9488,3.024,7.344,9.072000000000001,3.5424,,0.8640000000000001,70.416,20.563200000000002,15.0,198.0,500.0,100.0,300.0,1200.0,665.0,171.0,1003.0,,300.0,1080.0,,105.0,22.0,520.0,10.0,321.0,72.0,1.296,17.107200000000002,43.2,8.64,25.92,103.68,57.456,14.7744,86.6592,,25.92,93.31200000000001,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,27.7344,6.2208000000000006,0.00583054531328,0.379700595952128,2.133589440167424,0.072830929434624,0.23134863665664002,0.09684361534464,0.0005663369318400001,0.08625311471923201,0.061374161192421055,0.479419944384,0.8060405894096805,0.4668649322732308,0.608812201728,0.46784355238956526,0.003960398124755246,0.5014715972048374
2025-04-10,1120.0,710.0,13366.0,3531.0,19750.0,10807.0,25851.0,1233.0,75306.0,2575.0,2448.0,8085.0,2079.0,1543.0,211.0,3378.0,20.0,950.0,3046.0,0.27674820854954285,0.18374741200828157,0.4075,0.41541176470588237,0.5323019701910897,0.553750768600123,0.5227493326862412,0.7400960384153662,0.805670268535359,0.4672473235347487,0.4450909090909091,0.6029982100238663,0.47793103448275864,0.14597918637653737,0.07301038062283736,0.46141237535855756,0.003963535473642489,0.5447247706422018,0.5000820883270399,8.0,145.0,235.0,127.0,39.0,79.0,60.0,136.0,922.0,35.0,20.0,39.0,85.0,105.0,42.0,,10.0,732.0,111.0,0.6912,12.528,20.304000000000002,10.972800000000001,3.3696,6.8256000000000006,5.184,11.7504,79.66080000000001,3.024,1.7280000000000002,3.3696,7.344,9.072000000000001,3.6288,,0.8640000000000001,63.244800000000005,9.5904,50.0,198.0,600.0,172.0,350.0,1200.0,665.0,171.0,1003.0,,300.0,1000.0,,105.0,22.0,520.0,10.0,273.0,72.0,4.32,17.107200000000002,51.84,14.860800000000001,30.240000000000002,103.68,57.456,14.7744,86.6592,,25.92,86.4,,9.072000000000001,1.9008,44.928000000000004,0.8640000000000001,23.587200000000003,6.2208000000000006,0.005688961080320002,0.37848297154867205,2.1324284494571524,0.07291587997440001,0.22894170469632003,0.095654307787776,0.0005663369318400001,0.08625311471923201,0.0598838008454737,0.4778825398341819,0.8056019831723281,0.46740948701538465,0.6024781702534737,0.4620981052549566,0.003960398124755246,0.5014715972048374
