carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
coal,1495.9685017741726,1250.6299999999999,245.33850177417276,19.617193076623206
oil_gas,26.780000000000005,26.779999999999998,7.105427357601002e-15,2.6532589087382384e-14
nuclear,379.94000000000005,379.94000000000005,0.0,0.0
hydro,47.52644165998202,43.85,3.676441659982018,8.384131493687612
solar,478.0518270348083,263.58,214.4718270348083,81.36877875210878
wind,299.8992882814063,150.05,149.8492882814063,99.86623677534574
comparable_total,2728.1660587503693,2114.83,613.3360587503694,29.00167194291595
