carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
coal,1483.8579983675793,1168.1399999999999,315.7179983675794,27.02741095823955
oil_gas,25.12000000000001,25.119999999999997,1.4210854715202004e-14,5.657187386625002e-14
nuclear,378.86,378.86,0.0,0.0
hydro,197.75953373162687,177.16,20.599533731626877,11.627643786197154
solar,406.4665525792723,321.02,85.44655257927229,26.617205339004514
wind,462.94974515469676,970.23,-507.28025484530326,-52.28453612497071
comparable_total,2955.013829833176,3040.5299999999997,-85.51617016682394,-2.812541568964093
