sheet,cell,kind,file_a_value,file_b_value
PlantInfo,C253,changed,Others (districts not specified) [Waste to Energy (Off-grid)] Tamil Nadu N.A. 27.57,Others (districts not specified) [Non-Bagasse based cogen.] Tamil Nadu N.A. 525
PlantInfo,G253,changed,27.57,52.05
PlantInfo,H253,changed,Others (districts not specified) [Waste to Energy (Off-grid)],Others (districts not specified) [Non-Bagasse based cogen.]
PlantInfo,C254,changed,Ponni Sugars Limited Tamil Nadu Erode 19,Others (districts not specified) [Waste to Energy (Off-grid)] Tamil Nadu N.A. 27.57
PlantInfo,E254,changed,Erode,N.A.
PlantInfo,G254,changed,19,27.57
PlantInfo,H254,changed,Ponni Sugars Limited,Others (districts not specified) [Waste to Energy (Off-grid)]
PlantInfo,C255,changed,Prathyusha Power Pvt. Ltd. Tamil Nadu Tirunelveli 10,Ponni Sugars Limited Tamil Nadu Erode 19
PlantInfo,E255,changed,Tirunelveli,Erode
PlantInfo,G255,changed,10,19
PlantInfo,H255,changed,Prathyusha Power Pvt. Ltd.,Ponni Sugars Limited
PlantInfo,C256,changed,Rajashree Sugars & Chemicals Ltd. Tamil Nadu Theni 12,Prathyusha Power Pvt. Ltd. Tamil Nadu Tirunelveli 10
PlantInfo,E256,changed,Theni,Tirunelveli
PlantInfo,G256,changed,12,10
PlantInfo,H256,changed,Rajashree Sugars & Chemicals Ltd.,Prathyusha Power Pvt. Ltd.
PlantInfo,C257,changed,Rajashree Sugars & Chemicals Ltd. Tamil Nadu Viluppuram 20,Rajashree Sugars & Chemicals Ltd. Tamil Nadu Theni 12
PlantInfo,E257,changed,Viluppuram,Theni
PlantInfo,G257,changed,20,12
PlantInfo,C258,changed,Rajashree Sugars & Chemicals Ltd. Tamil Nadu Viluppuram 22,Rajashree Sugars & Chemicals Ltd. Tamil Nadu Viluppuram 20
PlantInfo,G258,changed,22,20
PlantInfo,C259,changed,Rajkumar Impex(P) Ltd. Tamil Nadu Thoothukkudi 6,Rajashree Sugars & Chemicals Ltd. Tamil Nadu Viluppuram 22
PlantInfo,E259,changed,Thoothukkudi,Viluppuram
PlantInfo,G259,changed,6,22
PlantInfo,H259,changed,Rajkumar Impex(P) Ltd.,Rajashree Sugars & Chemicals Ltd.
PlantInfo,C260,changed,Renuka Textiles Limited Tamil Nadu Theni 4.5,Rajkumar Impex(P) Ltd. Tamil Nadu Thoothukkudi 6
PlantInfo,E260,changed,Theni,Thoothukkudi
PlantInfo,G260,changed,4.5,6
PlantInfo,H260,changed,Renuka Textiles Limited,Rajkumar Impex(P) Ltd.
PlantInfo,C261,changed,S.V Sugar Mills Ltd. Tamil Nadu Kancheepuram 45,Renuka Textiles Limited Tamil Nadu Theni 4.5
PlantInfo,E261,changed,Kancheepuram,Theni
PlantInfo,G261,changed,45,4.5
PlantInfo,H261,changed,S.V Sugar Mills Ltd.,Renuka Textiles Limited
PlantInfo,C262,changed,Saastha Energy(P) Ltd Tamil Nadu N.A. 2,S.V Sugar Mills Ltd. Tamil Nadu Kancheepuram 45
PlantInfo,E262,changed,N.A.,Kancheepuram
PlantInfo,G262,changed,2,45
PlantInfo,H262,changed,Saastha Energy(P) Ltd,S.V Sugar Mills Ltd.
PlantInfo,C263,changed,Sakti Sugars Ltd. Tamil Nadu Erode 24.5,Saastha Energy(P) Ltd Tamil Nadu N.A. 2
PlantInfo,E263,changed,Erode,N.A.
PlantInfo,G263,changed,24.5,2
PlantInfo,H263,changed,Sakti Sugars Ltd.,Saastha Energy(P) Ltd
PlantInfo,C264,changed,Sakti Sugars Ltd. Tamil Nadu Sivaganga 35,Sakti Sugars Ltd. Tamil Nadu Erode 24.5
PlantInfo,E264,changed,Sivaganga,Erode
PlantInfo,G264,changed,35,24.5
PlantInfo,C265,changed,Shakti Sugars Ltd. Tamil Nadu Erode 32,Sakti Sugars Ltd. Tamil Nadu Sivaganga 35
PlantInfo,E265,changed,Erode,Sivaganga
PlantInfo,G265,changed,32,35
PlantInfo,H265,changed,Shakti Sugars Ltd.,Sakti Sugars Ltd.
PlantInfo,C266,changed,Shriraam City Union Finance Ltd. Tamil Nadu Thanjavur 7.5,Shakti Sugars Ltd. Tamil Nadu Erode 32
PlantInfo,E266,changed,Thanjavur,Erode
PlantInfo,G266,changed,7.5,32
PlantInfo,H266,changed,Shriraam City Union Finance Ltd.,Shakti Sugars Ltd.
PlantInfo,C267,changed,Shriram Investments Ltd. Tamil Nadu Dindigul 7.5,Shriraam City Union Finance Ltd. Tamil Nadu Thanjavur 7.5
PlantInfo,E267,changed,Dindigul,Thanjavur
PlantInfo,H267,changed,Shriram Investments Ltd.,Shriraam City Union Finance Ltd.
PlantInfo,C268,changed,"Sripathi Paper & Board
(P) Ltd Tamil Nadu Virudhunagar 4.95 09.03.2011",Shriram Investments Ltd. Tamil Nadu Dindigul 7.5
PlantInfo,E268,changed,Virudhunagar,Dindigul
PlantInfo,F268,changed,2011-09-03,N.A.
PlantInfo,G268,changed,4.95,7.5
PlantInfo,H268,changed,"Sripathi Paper & Board
(P) Ltd",Shriram Investments Ltd.
PlantInfo,C269,changed,"Subashri Bio Energy (P)
Ltd. Tamil Nadu Namakkal 2.5","Sripathi Paper & Board
(P) Ltd Tamil Nadu Virudhunagar 4.95 09.03.2011"
PlantInfo,E269,changed,Namakkal,Virudhunagar
PlantInfo,F269,changed,N.A.,2011-09-03
PlantInfo,G269,changed,2.5,4.95
PlantInfo,H269,changed,"Subashri Bio Energy (P)
Ltd.","Sripathi Paper & Board
(P) Ltd"
PlantInfo,C270,changed,Subramania Siva Co-op Sugar Mills Tamil Nadu Dharmapuri 5,"Subashri Bio Energy (P)
Ltd. Tamil Nadu Namakkal 2.5"
PlantInfo,E270,changed,Dharmapuri,Namakkal
PlantInfo,G270,changed,5,2.5
PlantInfo,H270,changed,Subramania Siva Co-op Sugar Mills,"Subashri Bio Energy (P)
Ltd."
PlantInfo,C271,changed,"Synergy Sakthi
Renewable energy Ltd. Tamil Nadu Dharmapuri 10",Subramania Siva Co-op Sugar Mills Tamil Nadu Dharmapuri 5
PlantInfo,G271,changed,10,5
PlantInfo,H271,changed,"Synergy Sakthi
Renewable energy Ltd.",Subramania Siva Co-op Sugar Mills
PlantInfo,C272,changed,TCP Ltd. Tamil Nadu Sivaganga 9,"Synergy Sakthi
Renewable energy Ltd. Tamil Nadu Dharmapuri 10"
PlantInfo,E272,changed,Sivaganga,Dharmapuri
PlantInfo,G272,changed,9,10
PlantInfo,H272,changed,TCP Ltd.,"Synergy Sakthi
Renewable energy Ltd."
PlantInfo,C273,changed,Terra Energy Ltd. Tamil Nadu Cuddalore 18.68,TCP Ltd. Tamil Nadu Sivaganga 9
PlantInfo,E273,changed,Cuddalore,Sivaganga
PlantInfo,G273,changed,18.68,9
PlantInfo,H273,changed,Terra Energy Ltd.,TCP Ltd.
PlantInfo,C274,changed,Terra Energy Ltd. Tamil Nadu Thanjavur 28.42,Terra Energy Ltd. Tamil Nadu Cuddalore 18.68
PlantInfo,E274,changed,Thanjavur,Cuddalore
PlantInfo,G274,changed,28.42,18.68
PlantInfo,A275,changed,Nuclear,Bio Power
PlantInfo,B275,changed,pipeline,operational
PlantInfo,C275,changed,BHAVINI PFBR Atomic Power Station,Terra Energy Ltd. Tamil Nadu Thanjavur 28.42
PlantInfo,E275,changed,Kancheepuram,Thanjavur
PlantInfo,F275,changed,2024-06-18,N.A.
PlantInfo,G275,changed,500,28.42
PlantInfo,H275,changed,Bharatiya Nabhikiya Vidyut Nigam Limited,Terra Energy Ltd.
PlantInfo,B276,changed,operational,pipeline
PlantInfo,C276,changed,Kudankulam Atomic Power Project,BHAVINI PFBR Atomic Power Station
PlantInfo,E276,changed,Tirunelveli,Kancheepuram
PlantInfo,F276,changed,2014-12-31,2024-08-21
PlantInfo,G276,changed,1000,500
PlantInfo,H276,changed,Nuclear Power Corporation of India,Bharatiya Nabhikiya Vidyut Nigam Limited
PlantInfo,F277,changed,2017-03-31,2014-12-31
PlantInfo,B278,changed,pipeline,operational
PlantInfo,F278,changed,2025-06-18,2017-03-31
PlantInfo,F279,changed,2025-06-18,2025-08-21
PlantInfo,F280,changed,2027-06-18,2025-08-21
PlantInfo,F281,changed,2027-06-18,2027-08-21
PlantInfo,B282,changed,operational,pipeline
PlantInfo,C282,changed,Madras Atomic Power Station,Kudankulam Atomic Power Project
