sheet,cell,kind,file_a_value,file_b_value
PlantInfo,G194,changed,309.36,169
PlantInfo,C195,changed,"Tamil Nadu Tirunelveli, Tuticorin, Virudhunagar and Ramanathapuram 351",Tamil Nadu Tirunelveli  309.36
PlantInfo,E195,changed,"Tirunelveli, Tuticorin, Virudhunagar and Ramanathapuram",Tirunelveli
PlantInfo,G195,changed,351,309.36
PlantInfo,C196,changed,Tamil Nadu Tiruppur 49.3,"Tamil Nadu Tirunelveli, Tuticorin, Virudhunagar and Ramanathapuram 351"
PlantInfo,E196,changed,Tiruppur,"Tirunelveli, Tuticorin, Virudhunagar and Ramanathapuram"
PlantInfo,G196,changed,49.3,351
PlantInfo,C197,changed,Tamil Nadu Tiruvannamalai 31,Tamil Nadu Tiruppur 49.3
PlantInfo,E197,changed,Tiruvannamalai,Tiruppur
PlantInfo,G197,changed,31,49.3
PlantInfo,C198,changed,Tamil Nadu Vellore  5,Tamil Nadu Tiruvannamalai 31
PlantInfo,E198,changed,Vellore,Tiruvannamalai
PlantInfo,G198,changed,5,31
PlantInfo,C199,changed,Tamil Nadu Virudhunagar 685.4,Tamil Nadu Vellore  5
PlantInfo,E199,changed,Virudhunagar,Vellore
PlantInfo,G199,changed,685.4,5
PlantInfo,A200,changed,Oil & Gas,Solar
PlantInfo,C200,changed,Basin Bridge Gas Turbine Power Station,Tamil Nadu Virudhunagar 685.4
PlantInfo,E200,changed,Chennai,Virudhunagar
PlantInfo,F200,only_in_a,1996-02-12,
PlantInfo,G200,changed,30,685.4
PlantInfo,H200,only_in_a,Tamil Nadu Generation and Distribution Corp. Ltd.,
PlantInfo,F201,changed,1996-02-25,1996-02-12
PlantInfo,F202,changed,1996-03-26,1996-02-25
PlantInfo,F203,changed,1996-03-31,1996-03-26
PlantInfo,B204,changed,Temporarily Closed,operational
PlantInfo,C204,changed,Karuppur Combined Cycle Power Plant,Basin Bridge Gas Turbine Power Station
PlantInfo,E204,changed,Thanjavur,Chennai
PlantInfo,F204,changed,2005-08-01,1996-03-31
PlantInfo,G204,changed,70,30
PlantInfo,H204,changed,Lanco Tanjore Power Co. Ltd.,Tamil Nadu Generation and Distribution Corp. Ltd.
PlantInfo,G205,changed,49.8,70
PlantInfo,B206,changed,operational,Temporarily Closed
PlantInfo,C206,changed,Kovilkalappal (Thirumakotai) Gas Combined Cycle Gas Turbine Power Station,Karuppur Combined Cycle Power Plant
PlantInfo,E206,changed,Thiruvarur,Thanjavur
PlantInfo,F206,changed,2001-02-05,2005-08-01
PlantInfo,G206,changed,69.65,49.8
PlantInfo,H206,changed,Tamil Nadu Generation and Distribution Corp. Ltd.,Lanco Tanjore Power Co. Ltd.
PlantInfo,G207,changed,38.23,69.65
PlantInfo,C208,changed,Kuttalam Gas Turbine Power Station,Kovilkalappal (Thirumakotai) Gas Combined Cycle Gas Turbine Power Station
PlantInfo,E208,changed,Nagapattinam,Thiruvarur
PlantInfo,F208,changed,2003-11-27,2001-02-05
PlantInfo,G208,changed,63,38.23
PlantInfo,F209,changed,2004-03-24,2003-11-27
PlantInfo,G209,changed,37,63
PlantInfo,C210,changed,Pillaiperumalnallur (PPN) Power Plant Phase I,Kuttalam Gas Turbine Power Station
PlantInfo,F210,changed,2001-04-26,2004-03-24
PlantInfo,G210,changed,225,37
PlantInfo,H210,changed,PPN Power Generating Co. Private Ltd.,Tamil Nadu Generation and Distribution Corp. Ltd.
PlantInfo,G211,changed,105.5,225
PlantInfo,B212,changed,Temporarily Closed,operational
PlantInfo,C212,changed,Valantharavai Combined Cycle Gas Power Plant,Pillaiperumalnallur (PPN) Power Plant Phase I
PlantInfo,E212,changed,Ramanathapuram,Nagapattinam
PlantInfo,F212,changed,2005-10-29,2001-04-26
PlantInfo,G212,changed,38,105.5
PlantInfo,H212,changed,Pioneer Power Ltd.,PPN Power Generating Co. Private Ltd.
PlantInfo,F213,changed,2006-05-01,2005-10-29
PlantInfo,G213,changed,14.8,38
PlantInfo,B214,changed,operational,Temporarily Closed
PlantInfo,C214,changed,Valuthur Gas Turbine Power Station,Valantharavai Combined Cycle Gas Power Plant
PlantInfo,F214,changed,2002-12-24,2006-05-01
PlantInfo,G214,changed,60,14.8
PlantInfo,H214,changed,Tamil Nadu Generation and Distribution Corp. Ltd.,Pioneer Power Ltd.
PlantInfo,F215,changed,2003-03-13,2002-12-24
PlantInfo,G215,changed,34,60
PlantInfo,F216,changed,2008-05-06,2003-03-13
PlantInfo,G216,changed,59.8,34
PlantInfo,F217,changed,2008-08-31,2008-05-06
PlantInfo,G217,changed,32.4,59.8
PlantInfo,A218,changed,Bio Power,Oil & Gas
PlantInfo,C218,changed,Ambika Sugars (Previously M/s. SREL) Tamil Nadu Cuddalore 40,Valuthur Gas Turbine Power Station
PlantInfo,E218,changed,Cuddalore,Ramanathapuram
PlantInfo,F218,changed,N.A.,2008-08-31
PlantInfo,G218,changed,40,32.4
PlantInfo,H218,changed,Ambika Sugars (Previously M/s. SREL),Tamil Nadu Generation and Distribution Corp. Ltd.
PlantInfo,C219,changed,"Arashi Hi-Tech Bio-Power 
Ltd. Tamil Nadu Coimbatore 1.6",Ambika Sugars (Previously M/s. SREL) Tamil Nadu Cuddalore 40
PlantInfo,E219,changed,Coimbatore,Cuddalore
PlantInfo,G219,changed,1.6,40
PlantInfo,H219,changed,"Arashi Hi-Tech Bio-Power 
Ltd.",Ambika Sugars (Previously M/s. SREL)
PlantInfo,C220,changed,Arunachala Sugars Ltd. Tamil Nadu Tiruvannamalai 19,"Arashi Hi-Tech Bio-Power 
Ltd. Tamil Nadu Coimbatore 1.6"
PlantInfo,E220,changed,Tiruvannamalai,Coimbatore
PlantInfo,G220,changed,19,1.6
PlantInfo,H220,changed,Arunachala Sugars Ltd.,"Arashi Hi-Tech Bio-Power 
Ltd."
PlantInfo,C221,changed,Astro Energy and Bio Systems Ltd. Tamil Nadu Madurai 10,Arunachala Sugars Ltd. Tamil Nadu Tiruvannamalai 19
PlantInfo,E221,changed,Madurai,Tiruvannamalai
PlantInfo,G221,changed,10,19
PlantInfo,H221,changed,Astro Energy and Bio Systems Ltd.,Arunachala Sugars Ltd.
PlantInfo,C222,changed,Auro Energy Ltd. Tamil Nadu Thanjavur 16,Astro Energy and Bio Systems Ltd. Tamil Nadu Madurai 10
PlantInfo,E222,changed,Thanjavur,Madurai
PlantInfo,G222,changed,16,10
PlantInfo,H222,changed,Auro Energy Ltd.,Astro Energy and Bio Systems Ltd.
PlantInfo,C223,changed,Aurobindo Agro Energy Pvt. Ltd. Tamil Nadu Sivaganga 15,Auro Energy Ltd. Tamil Nadu Thanjavur 16
PlantInfo,E223,changed,Sivaganga,Thanjavur
PlantInfo,G223,changed,15,16
PlantInfo,H223,changed,Aurobindo Agro Energy Pvt. Ltd.,Auro Energy Ltd.
PlantInfo,C224,changed,"Auromira Bio Power
India (P) Ltd Tamil Nadu Tirunelveli 15",Aurobindo Agro Energy Pvt. Ltd. Tamil Nadu Sivaganga 15
PlantInfo,E224,changed,Tirunelveli,Sivaganga
PlantInfo,H224,changed,"Auromira Bio Power
India (P) Ltd",Aurobindo Agro Energy Pvt. Ltd.
PlantInfo,C225,changed,Bannari Amman Sugars Ltd. Tamil Nadu Erode 20,"Auromira Bio Power
India (P) Ltd Tamil Nadu Tirunelveli 15"
PlantInfo,E225,changed,Erode,Tirunelveli
PlantInfo,G225,changed,20,15
PlantInfo,H225,changed,Bannari Amman Sugars Ltd.,"Auromira Bio Power
India (P) Ltd"
PlantInfo,C226,changed,Bannari Amman Sugars and Chemicals Ltd. Tamil Nadu Tiruvannamalai 28.8,Bannari Amman Sugars Ltd. Tamil Nadu Erode 20
PlantInfo,E226,changed,Tiruvannamalai,Erode
PlantInfo,G226,changed,28.8,20
PlantInfo,H226,changed,Bannari Amman Sugars and Chemicals Ltd.,Bannari Amman Sugars Ltd.
PlantInfo,C227,changed,"C.M.D.A., Koyambedu Veg. Market Bio-metharation plant Tamil Nadu Chennai 0.25",Bannari Amman Sugars and Chemicals Ltd. Tamil Nadu Tiruvannamalai 28.8
PlantInfo,E227,changed,Chennai,Tiruvannamalai
PlantInfo,G227,changed,0.25,28.8
PlantInfo,H227,changed,"C.M.D.A., Koyambedu Veg. Market Bio-metharation plant",Bannari Amman Sugars and Chemicals Ltd.
PlantInfo,C228,changed,Cheyyar Co.op Sugar Mills Tamil Nadu Tiruvannamalai 7.5,"C.M.D.A., Koyambedu Veg. Market Bio-metharation plant Tamil Nadu Chennai 0.25"
PlantInfo,E228,changed,Tiruvannamalai,Chennai
PlantInfo,G228,changed,7.5,0.25
PlantInfo,H228,changed,Cheyyar Co.op Sugar Mills,"C.M.D.A., Koyambedu Veg. Market Bio-metharation plant"
PlantInfo,C229,changed,Chitra Bio Energy Ltd. Tamil Nadu Pudukkottai 7.5,Cheyyar Co.op Sugar Mills Tamil Nadu Tiruvannamalai 7.5
PlantInfo,E229,changed,Pudukkottai,Tiruvannamalai
PlantInfo,H229,changed,Chitra Bio Energy Ltd.,Cheyyar Co.op Sugar Mills
PlantInfo,C230,changed,Dhanalakshmi Srinivasan Sugars Pvt Ltd. Tamil Nadu Perambalur 25,Chitra Bio Energy Ltd. Tamil Nadu Pudukkottai 7.5
PlantInfo,E230,changed,Perambalur,Pudukkottai
PlantInfo,G230,changed,25,7.5
PlantInfo,H230,changed,Dhanalakshmi Srinivasan Sugars Pvt Ltd.,Chitra Bio Energy Ltd.
PlantInfo,C231,changed,Dharani Sugars & Chemical Ltd. Tamil Nadu Tiruvannamalai 15,Dhanalakshmi Srinivasan Sugars Pvt Ltd. Tamil Nadu Perambalur 25
PlantInfo,E231,changed,Tiruvannamalai,Perambalur
PlantInfo,G231,changed,15,25
PlantInfo,H231,changed,Dharani Sugars & Chemical Ltd.,Dhanalakshmi Srinivasan Sugars Pvt Ltd.
PlantInfo,C232,changed,Dharani Sugars & Chemical Ltd. Tamil Nadu Viluppuram 22,Dharani Sugars & Chemical Ltd. Tamil Nadu Tiruvannamalai 15
PlantInfo,E232,changed,Viluppuram,Tiruvannamalai
PlantInfo,G232,changed,22,15
PlantInfo,C233,changed,EID Parry India Ltd. Tamil Nadu Cuddalore 24.5,Dharani Sugars & Chemical Ltd. Tamil Nadu Viluppuram 22
PlantInfo,E233,changed,Cuddalore,Viluppuram
PlantInfo,G233,changed,24.5,22
