component_type,component_id,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size
Generator,opg_power_generation_private_ltd__unit_03,49,unit,3,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,80.0,OPG Power Ventures Plc,1
Generator,opg_power_generation_private_ltd__unit_04,50,unit,4,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,180.0,OPG Power Ventures Plc,1
Generator,tcp_limited__unit_01,51,unit,1,Coal,TCP Limited,Tamil Nadu,Thiruvallur,2024-12-23,63.5,TCP Limited,1
Generator,tulsyan_nec_limited__unit_01,52,unit,1,Coal,Tulsyan NEC Limited,Tamil Nadu,Thiruvallur,2026-03-01,35.0,Tulsyan NEC Limited,2
Generator,tulsyan_nec_limited__unit_02,53,unit,2,Coal,Tulsyan NEC Limited,Tamil Nadu,Thiruvallur,2026-03-01,35.0,Tulsyan NEC Limited,2
Generator,tuticorin_p_tpp__unit_01,54,unit,1,Coal,Tuticorin (P) TPP,Tamil Nadu,Thoothukudi,2013-01-31,150.0,Ind Barath Power Infra Limited (IBPIL),1
Generator,tuticorin_p_tpp__unit_02,55,unit,2,Coal,Tuticorin (P) TPP,Tamil Nadu,Thoothukudi,2013-12-30,150.0,Ind Barath Power Infra Limited (IBPIL),1
Generator,tuticorin_joint_venture__unit_01,57,unit,1,Coal,Tuticorin Joint Venture,Tamil Nadu,Thoothukudi,2015-03-10,500.0,NTPL (Joint Venture -NLC and TANGEDCO),1
Generator,tuticorin_joint_venture__unit_02,58,unit,2,Coal,Tuticorin Joint Venture,Tamil Nadu,Thoothukudi,2015-07-09,500.0,NTPL (Joint Venture -NLC and TANGEDCO),1
Generator,tuticorin_tps__unit_01,59,unit,1,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1979-07-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,tuticorin_tps__unit_02,60,unit,2,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1980-12-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,tuticorin_tps__unit_03,61,unit,3,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1982-04-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,tuticorin_tps__unit_05,62,unit,5,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1992-02-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,tuticorin_tps__unit_04,63,unit,4,Coal,Tuticorin TPS,Tamil Nadu,Thoothukudi,1991-03-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,tuticorin_thermal_power_plant__unit_01,64,unit,1,Coal,Tuticorin Thermal Power Plant,Tamil Nadu,Thoothukudi,2021-12-01,525.0,SEPC Power Pvt. Ltd.,1
