name,bus,p_nom,p_min_pu,p_max_pu,p_init,e_sum_max,carrier,marginal_cost,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
lower_mettur_i_to_iv_hydroelectric_power_project__unit_06,Tamil_Nadu,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_08,Tamil_Nadu,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_07,Tamil_Nadu,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_dam_hydroelectric_power_project__unit_01,Tamil_Nadu,12.5,0.0,1.0,,38320.763087843836,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_dam_hydroelectric_power_project__unit_02,Tamil_Nadu,12.5,0.0,1.0,,38320.763087843836,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_dam_hydroelectric_power_project__unit_03,Tamil_Nadu,12.5,0.0,1.0,,38320.763087843836,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_dam_hydroelectric_power_project__unit_04,Tamil_Nadu,12.5,0.0,1.0,,38320.763087843836,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_01,Tamil_Nadu,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_02,Tamil_Nadu,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_03,Tamil_Nadu,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_04,Tamil_Nadu,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
moyar_power_house__unit_01,Tamil_Nadu,14.0,0.0,1.0,,42919.25465838509,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
moyar_power_house__unit_02,Tamil_Nadu,14.0,0.0,1.0,,42919.25465838509,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
moyar_power_house__unit_03,Tamil_Nadu,12.0,0.0,1.0,,36787.932564330076,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_01,Tamil_Nadu,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_02,Tamil_Nadu,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_03,Tamil_Nadu,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_04,Tamil_Nadu,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
parson_s_valley_hydroelectric_power_project__unit_01,Tamil_Nadu,30.0,0.0,1.0,,91969.8314108252,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_01,Tamil_Nadu,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_02,Tamil_Nadu,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_03,Tamil_Nadu,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_04,Tamil_Nadu,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_01,Tamil_Nadu,7.0,0.0,1.0,,21459.627329192546,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_02,Tamil_Nadu,7.0,0.0,1.0,,21459.627329192546,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_03,Tamil_Nadu,7.0,0.0,1.0,,21459.627329192546,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_04,Tamil_Nadu,13.6,0.0,1.0,,41692.99023957409,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
