,Tamil_Nadu_demand
455,17802.54
456,16926.04
457,16382.53
458,16028.86
459,15822.06
460,15663.28
461,15586.84
462,15386.98
463,15483.71
464,15284.87
465,15330.22
466,15741.79
467,15938.74
468,15917.24
469,15879.32
470,16027.85
471,16639.6
472,16896.37
473,16835.29
474,16246.53
475,16315.25
476,16158.07
477,16241.7
478,16671.7
479,16499.35
480,15704.94
481,15401.99
482,15045.81
483,14832.83
484,14623.77
485,14742.61
486,15003.09
487,16126.47
488,16357.0
489,17451.4
490,17965.04
491,18322.06
492,18506.33
493,17895.88
494,18153.33
495,18680.68
496,18988.71
497,18837.94
498,18583.81
499,18218.96
500,18066.0
501,18092.35
502,18533.31
503,18165.39
504,17097.32
505,16866.03
506,16542.23
507,16179.98
508,16018.34
509,16158.82
510,16191.44
511,17062.88
512,17176.45
513,17964.79
514,18815.58
515,18653.33
516,18663.83
517,18480.77
518,18370.3
519,19024.44
520,19975.76
521,19698.04
522,18959.7
523,18768.24
524,18151.18
525,18177.82
526,18478.65
527,18093.56
528,17242.35
529,16802.5
530,16503.39
531,16134.75
532,16009.03
533,16113.74
534,16215.8
535,17086.46
536,17172.32
537,18149.59
538,18648.7
539,18772.58
540,18505.81
541,18368.5
542,18050.06
543,18670.96
544,19513.59
545,18853.64
546,18986.72
547,19089.54
548,18623.13
549,18642.55
550,19093.73
551,18710.45
552,17862.67
553,17242.56
554,16947.96
555,16563.25
556,16343.87
557,16425.11
558,16534.11
559,17303.9
560,17263.99
561,18361.63
562,18956.52
563,18954.78
564,18932.65
565,18582.38
566,18641.68
567,19399.36
568,19757.5
569,19514.83
570,19171.05
571,19429.01
572,18912.97
573,18966.5
574,19348.54
575,18728.24
576,17909.46
577,17619.84
578,17222.15
579,16932.07
580,16652.88
581,16778.64
582,16767.3
583,17501.07
584,17356.27
585,18395.29
586,19083.12
587,19016.53
588,19088.22
589,18868.08
590,18638.23
591,19399.81
592,19892.81
593,19223.94
594,18994.37
595,19300.7
596,18716.6
597,18890.46
598,19312.32
599,18664.24
600,18233.26
601,17703.32
602,17250.59
603,16955.21
604,16922.37
605,17025.19
606,16747.38
607,17245.23
608,17547.26
609,18657.65
610,19088.34
611,19287.93
612,18969.12
613,18777.2
614,18506.69
615,19301.91
616,19839.15
617,19378.68
618,19083.48
619,19324.86
620,18770.95
621,18704.13
622,19122.18
623,18925.4
624,17909.54
625,17036.7
626,16974.35
627,16641.29
628,16485.26
629,16525.77
630,16056.18
631,16173.17
632,16063.87
633,16739.59
634,16661.87
635,17046.36
