timestamp,balancing_area,demand_mw,relative_to_daily_mean
2025-07-11 00:00:00,Chennai North,1526.5887307119651,0.9928063387513019
2025-07-11 01:00:00,Chennai North,1471.5746157952603,0.9570282926336521
2025-07-11 02:00:00,Chennai North,1431.8393121529864,0.9311867149155597
2025-07-11 03:00:00,Chennai North,1403.1654486922737,0.9125388677072233
2025-07-11 04:00:00,Chennai North,1385.1738880118432,0.9008381816427916
2025-07-11 05:00:00,Chennai North,1390.002138917559,0.9039782009602673
2025-07-11 06:00:00,Chennai North,1409.3969339797984,0.9165914707225782
2025-07-11 07:00:00,Chennai North,1534.9936531020985,0.9982724214347142
2025-07-11 08:00:00,Chennai North,1505.7140217935005,0.9792306173294788
2025-07-11 09:00:00,Chennai North,1530.4090725261929,0.995290871417538
2025-07-11 10:00:00,Chennai North,1540.176333578447,1.0016429415526256
2025-07-11 11:00:00,Chennai North,1572.3408171134,1.0225608891921776
2025-07-11 12:00:00,Chennai North,1559.0267043723345,1.013902148787344
2025-07-11 13:00:00,Chennai North,1574.5934896729043,1.0240258990872553
2025-07-11 14:00:00,Chennai North,1556.5695532143875,1.0123041576612455
2025-07-11 15:00:00,Chennai North,1627.6377940912832,1.0585228926794061
2025-07-11 16:00:00,Chennai North,1695.9907295796986,1.1029757477673043
2025-07-11 17:00:00,Chennai North,1679.1433970563842,1.092019202508126
2025-07-11 18:00:00,Chennai North,1637.9102876805214,1.065203537272807
2025-07-11 19:00:00,Chennai North,1623.5797459063665,1.0558837693321084
2025-07-11 20:00:00,Chennai North,1561.9976080088672,1.015834255256382
2025-07-11 21:00:00,Chennai North,1569.378433418469,1.0206343236077655
2025-07-11 22:00:00,Chennai North,1586.6926587415594,1.0318945093444412
2025-07-11 23:00:00,Chennai North,1529.706177344048,0.9948337484359046
2025-07-11 00:00:00,Chennai South,1897.1241414968997,0.9930597620539339
2025-07-11 01:00:00,Chennai South,1831.182255726112,0.9585421298333789
2025-07-11 02:00:00,Chennai South,1783.5540996099292,0.9336109171914457
2025-07-11 03:00:00,Chennai South,1749.1845813181906,0.9156200093166602
2025-07-11 04:00:00,Chennai South,1727.619253201517,0.9043315231603135
2025-07-11 05:00:00,Chennai South,1733.406567424048,0.9073609236929657
2025-07-11 06:00:00,Chennai South,1756.6538624587574,0.9195298444138577
2025-07-11 07:00:00,Chennai South,1907.198582083677,0.9983332817741761
2025-07-11 08:00:00,Chennai South,1872.102968783606,0.9799622955901061
2025-07-11 09:00:00,Chennai South,1901.7033398335557,0.995456767875076
2025-07-11 10:00:00,Chennai South,1913.4107282660764,1.001585062864722
2025-07-11 11:00:00,Chennai South,1951.964228624113,1.0217660984935708
2025-07-11 12:00:00,Chennai South,1936.005456900892,1.0134123942190418
2025-07-11 13:00:00,Chennai South,1954.6643625228908,1.0231794980009528
2025-07-11 14:00:00,Chennai South,1933.060227640652,1.0118706982359522
2025-07-11 15:00:00,Chennai South,2018.2451629782572,1.0564612075055217
2025-07-11 16:00:00,Chennai South,2100.1754361617764,1.0993480464914207
2025-07-11 17:00:00,Chennai South,2079.981620838619,1.0887774860303892
2025-07-11 18:00:00,Chennai South,2030.558141199725,1.0629065017038963
2025-07-11 19:00:00,Chennai South,2013.3810412839011,1.0539150570313693
2025-07-11 20:00:00,Chennai South,1939.5664882568065,1.0152764350973476
2025-07-11 21:00:00,Chennai South,1948.4134095749264,1.019907403301753
2025-07-11 22:00:00,Chennai South,1969.166859306756,1.0307709073823175
2025-07-11 23:00:00,Chennai South,1900.8608245285284,0.99501574873983
2025-07-11 00:00:00,Coimbatore,2776.10967860931,0.9926520497702936
2025-07-11 01:00:00,Coimbatore,2673.904613521108,0.9561066394291816
2025-07-11 02:00:00,Coimbatore,2600.084480247911,0.9297108139426815
2025-07-11 03:00:00,Coimbatore,2546.8142588552823,0.9106630094324506
2025-07-11 04:00:00,Coimbatore,2513.3895889652763,0.8987113681356879
2025-07-11 05:00:00,Coimbatore,2522.359499665976,0.9019187342970155
2025-07-11 06:00:00,Coimbatore,2558.3910943705305,0.9148025323023905
2025-07-11 07:00:00,Coimbatore,2791.724319347337,0.9982353684894568
2025-07-11 08:00:00,Coimbatore,2737.328704182307,0.9787851575312455
2025-07-11 09:00:00,Coimbatore,2783.207098687294,0.9951898704633224
2025-07-11 10:00:00,Coimbatore,2801.3526882889905,1.0016781792110652
2025-07-11 11:00:00,Coimbatore,2861.107773655638,1.0230447730565635
2025-07-11 12:00:00,Coimbatore,2836.3728531474635,1.0142003207885086
2025-07-11 13:00:00,Coimbatore,2865.2927822832457,1.0245412043483495
2025-07-11 14:00:00,Coimbatore,2831.80796476546,1.0125680560965609
2025-07-11 15:00:00,Coimbatore,2963.838339070757,1.0597780862679
2025-07-11 16:00:00,Coimbatore,3090.824226804123,1.1051843620795865
2025-07-11 17:00:00,Coimbatore,3059.5253007064302,1.0939928218512307
2025-07-11 18:00:00,Coimbatore,2982.922548232276,1.0666020167085435
2025-07-11 19:00:00,Coimbatore,2956.299308778286,1.057082359247183
2025-07-11 20:00:00,Coimbatore,2841.8921894123905,1.0161738668983642
2025-07-11 21:00:00,Coimbatore,2855.604265713812,1.021076886671715
2025-07-11 22:00:00,Coimbatore,2887.7705839173777,1.032578579830441
2025-07-11 23:00:00,Coimbatore,2781.9012620315543,0.9947229431502651
2025-07-11 00:00:00,Erode,2325.1798549436226,0.9931240758975791
2025-07-11 01:00:00,Erode,2245.1133719598315,0.958926311903286
2025-07-11 02:00:00,Erode,2187.2833765532546,0.9342261319902313
2025-07-11 03:00:00,Erode,2145.551988084445,0.9164019423814604
2025-07-11 04:00:00,Erode,2119.3674172837955,0.9052180644444996
2025-07-11 05:00:00,Erode,2126.394360634048,0.9082193921079347
2025-07-11 06:00:00,Erode,2154.6211717201863,0.9202755457925004
2025-07-11 07:00:00,Erode,2337.4122170664814,0.9983487269298337
2025-07-11 08:00:00,Erode,2294.7992057421875,0.9801479811240094
2025-07-11 09:00:00,Erode,2330.739906819841,0.995498869129067
2025-07-11 10:00:00,Erode,2344.954990385625,1.0015703743935138
2025-07-11 11:00:00,Erode,2391.766560062478,1.0215643962657561
2025-07-11 12:00:00,Erode,2372.389456880125,1.0132881041541453
2025-07-11 13:00:00,Erode,2395.045056307064,1.0229646980730833
2025-07-11 14:00:00,Erode,2368.813366422717,1.0117606947697535
2025-07-11 15:00:00,Erode,2472.2447150406733,1.055937992408322
2025-07-11 16:00:00,Erode,2571.724260507533,1.0984274073464546
2025-07-11 17:00:00,Erode,2547.204977322798,1.0879548022261505
2025-07-11 18:00:00,Erode,2487.195104307303,1.0623235593110987
2025-07-11 19:00:00,Erode,2466.338709892049,1.0534154366184965
2025-07-11 20:00:00,Erode,2376.713252797247,1.0151348713259114
