snapshot,demand_gwh,renewable_gwh,thermal_nuclear_gwh,imports_gwh,storage_net_output_gwh,unserved_gwh
2025-04-01,12018.79201,3336.477071301715,8211.959456749086,21.931120172357943,-12.665110579573424,0.0
2025-05-01,11660.72034,3571.0720647376,7565.18086321962,9.714396444233092,-9.984616158890038,0.0
2025-06-01,11739.82987,3638.150665390549,7427.791513825793,20.138791217891203,-12.771123513800456,0.0
2025-07-01,12464.08701,3807.033485455942,7799.421952127338,17.268491481224512,-13.202868974758973,0.0
2025-08-01,11388.94604,3722.5952971544298,6799.985764166021,9.431328014196367,-8.957970855299893,0.0
2025-09-01,11048.00589,3547.9398677957197,6722.3365862358005,9.336926076105524,-9.274601118401122,0.0
2025-10-01,10178.522420000001,3357.165496819603,6166.165618218167,22.74900860866476,-11.289391660073681,0.0
2025-11-01,10174.733920000002,3109.0857157121336,6533.985828528403,15.515655242231329,-7.8409090326472635,0.0
2025-12-01,10190.810430000001,3102.335509841757,6613.891471823743,12.807090256896695,-8.323662351949618,0.0
2026-01-01,10142.552200000002,3123.236437308919,6567.625236790242,12.62648106245222,-9.490506397928323,0.0
2026-02-01,10233.84756,2852.3420138124216,6991.504631876961,11.680811026223516,-9.417230311546755,0.0
2026-03-01,10142.552200000002,3328.1664336632293,6374.9892097735965,21.45230330768549,-11.974195508739664,0.0
