month,coal,oil_gas,nuclear,hydro,solar,wind
2025-04-01,6593.979456749085,109.52000000000004,1508.46,487.04085924767134,2058.5072761302667,1277.9697951714481
2025-05-01,6180.060863219619,114.30000000000004,1270.82,551.1334249505501,2061.952810044106,1509.1192546934942
2025-06-01,5745.061513825793,109.49000000000004,1573.24,700.6440557457456,1835.5944291611168,1802.5562362294318
2025-07-01,6019.201952127339,112.56000000000004,1667.66,881.1775908656962,1795.2206039855853,2011.8128814703566
2025-08-01,5795.725764166021,72.81000000000002,931.45,879.2627369934442,1805.5581587599822,1917.0371383944478
2025-09-01,5912.636586235801,77.40000000000002,732.3,793.2209300024371,1865.9002634646042,1682.0396043311157
2025-10-01,4771.845618218166,119.76000000000005,1274.56,677.0667418983572,1986.1263270961786,1371.039169723425
2025-11-01,5651.845828528402,117.36000000000006,764.78,540.4634624812685,1907.471907226998,1201.613808485136
2025-12-01,5586.771471823742,108.48000000000003,918.64,488.85489653722624,1923.1579306658177,1179.1775791759392
2026-01-01,5154.585236790242,104.13999999999999,1308.8999999999999,476.00119384930565,1940.9680910885154,1182.2683462204038
2026-02-01,5390.794631876961,83.33000000000001,1517.38,416.98090853651337,1856.5143249020712,995.8276889103502
2026-03-01,4587.129209773597,112.3,1675.56,466.9338778618794,2164.860208362094,1163.3062253011356
