month,wind_resource_cf,wind_modeled_cf,wind_observed_cf,wind_curtailment_pct,hydro_modeled_cf,hydro_observed_cf,wind_error_gwh,hydro_error_gwh
2025-04-01,0.14435446095863952,0.14431151607499443,0.06268778443478369,0.02974960618460365,0.30702870272512167,0.11751215403857018,722.8297951714482,300.6308592476713
2025-05-01,0.16492650043717877,0.1649162766113178,0.23708693507590753,0.006199019462527211,0.33622491487854794,0.15316797268489238,-660.4207453065058,300.0634249505501
2025-06-01,0.20354911692244415,0.20354911692244418,0.4161193314158193,-2.220446049250313e-14,0.4416833442680254,0.3848946986201889,-1882.4437637705682,90.08405574574567
2025-07-01,0.21985054436149457,0.21985054436149457,0.4724680122019571,0.0,0.5375719328006382,0.5048497395772328,-2311.6571185296434,53.63759086569621
2025-08-01,0.20949611820569783,0.2094934684627285,0.39038794134107685,0.0012648172157181392,0.5364037554572652,0.4947532328343524,-1655.3328616055521,68.27273699344414
2025-09-01,0.18994008020873626,0.18994008020873626,0.3792896652173744,0.0,0.5000434532110095,0.40869845880739125,-1676.8103956688842,144.90093000243712
2025-10-01,0.14993318221561708,0.14982691013705388,0.1357233476338651,0.07087962583919305,0.41305189878893006,0.37539483136942553,129.05916972342493,61.726741898357204
2025-11-01,0.13569941128162943,0.1356892088485349,0.08821955670971361,0.007518406305673242,0.34070610833816756,0.35633775114984273,420.3738084851359,-24.796537518731498
2025-12-01,0.1288779053153588,0.1288603105529521,0.10340821282588891,0.013652272174702329,0.29823122411952746,0.24829475796690642,232.9075791759392,81.85489653722624
2026-01-01,0.1292595993928553,0.12919806901124548,0.116902084680371,0.04760217569825809,0.290389683584206,0.17101225197366882,112.51834622040383,195.68119384930566
2026-02-01,0.12048356816671896,0.12048356816671896,0.1061092196273411,0.0,0.28163911781491086,0.11189082114327213,118.80768891035018,251.32090853651337
2026-03-01,0.12719407176774508,0.1271258918993747,0.055345856328320356,0.053603023649462234,0.2848580692635489,0.10367373751571518,656.8462253011355,296.9938778618794
