name,carrier,capacity_mw,online_hours,startups,shutdowns,generation_gwh
arashi_hi_tech_bio_power_ltd_tamil_nadu_coimbatore_1_6__unit_01,bio_power,1.6,26.0,5.0,5.0,0.022719999999999997
arunachala_sugars_ltd_tamil_nadu_tiruvannamalai_19__unit_01,bio_power,19.0,27.0,6.0,6.0,0.27929999999999994
astro_energy_and_bio_systems_ltd_tamil_nadu_madurai_10__unit_01,bio_power,10.0,29.0,6.0,6.0,0.158
auro_energy_ltd_tamil_nadu_thanjavur_16__unit_01,bio_power,16.0,21.0,4.0,4.0,0.1872
aurobindo_agro_energy_pvt_ltd_tamil_nadu_sivaganga_15__unit_01,bio_power,15.0,30.0,6.0,6.0,0.246
auromira_bio_power_india_p_ltd_tamil_nadu_tirunelveli_15__unit_01,bio_power,15.0,20.0,4.0,4.0,0.1665
bannari_amman_sugars_ltd_tamil_nadu_erode_20__unit_01,bio_power,20.0,19.0,4.0,4.0,0.20965242672906606
bannari_amman_sugars_and_chemicals_ltd_tamil_nadu_tiruvannamalai__unit_01,bio_power,28.8,21.0,4.0,4.0,0.33408000000000004
c_m_d_a_koyambedu_veg_market_bio_metharation_plant_tamil_nadu_ch__unit_01,bio_power,0.25,23.0,5.0,5.0,0.003175
cheyyar_co_op_sugar_mills_tamil_nadu_tiruvannamalai_7_5__unit_01,bio_power,7.5,21.0,4.0,4.0,0.087
chitra_bio_energy_ltd_tamil_nadu_pudukkottai_7_5__unit_01,bio_power,7.5,18.0,4.0,4.0,0.07425
dhanalakshmi_srinivasan_sugars_pvt_ltd_tamil_nadu_perambalur_25__unit_01,bio_power,25.0,20.0,4.0,4.0,0.275
dharani_sugars_chemical_ltd_tamil_nadu_tiruvannamalai_15__unit_01,bio_power,15.0,19.0,4.0,4.0,0.1575
dharani_sugars_chemical_ltd_tamil_nadu_viluppuram_22__unit_01,bio_power,22.0,24.0,5.0,5.0,0.2882
eid_parry_india_ltd_tamil_nadu_cuddalore_24_5__unit_01,bio_power,24.5,23.0,5.0,5.0,0.3087
eid_parry_india_ltd_tamil_nadu_karur_22__unit_01,bio_power,22.0,28.0,5.0,5.0,0.33879999999999993
eid_parry_india_ltd_tamil_nadu_pudukkottai_18__unit_01,bio_power,18.0,19.0,4.0,4.0,0.189
eid_parry_india_ltd_tamil_nadu_tiruchirappalli_18__unit_01,bio_power,18.0,23.0,4.0,4.0,0.23039999999999997
eta_power_gen_pvt_ltd_tamil_nadu_virudhunagar_10__unit_01,bio_power,10.0,26.0,6.0,6.0,0.141
empee_distilleries_pvt_ltd_tamil_nadu_pudukkottai_10__unit_01,bio_power,10.0,24.0,5.0,5.0,0.13207094159222696
empee_sugars_chemicals_ltd_tamil_nadu_tirunelveli_50__unit_01,bio_power,50.0,26.0,5.0,5.0,0.715
g_k_bio_energy_pvt_ltd_tamil_nadu_erode_1_5__unit_01,bio_power,1.5,25.0,5.0,5.0,0.020699999999999996
global_power_tech_equipments_pvt_ltd_tamil_nadu_tiruvannamalai_7__unit_01,bio_power,7.5,25.0,5.0,5.0,0.10275
iot_mabagas_ltd_tamil_nadu_n_a_2__unit_01,bio_power,2.0,27.0,5.0,5.0,0.0298
kothari_sugars_chemicals_ltd_kattur_lalgudi__unit_01,bio_power,12.0,20.0,4.0,4.0,0.132
kothari_sugars_chemicals_ltd_tamil_nadu_perambalur_22__unit_01,bio_power,22.0,22.0,4.0,4.0,0.26839999999999997
m_r_k_co_op_sugar_mills_tamil_nadu_cuddalore_7_5__unit_01,bio_power,7.5,24.0,4.0,4.0,0.1005
madras_sugars_chemicals_ltd_vengur__unit_01,bio_power,25.0,16.0,3.0,3.0,0.225
manali_petrochemicals_ltd_tamil_nadu_thiruvallur_4_7__unit_01,bio_power,4.7,23.0,5.0,5.0,0.05922
mohan_breweries_distillaries_ltd_tamil_nadu_kancheepuram_18__unit_01,bio_power,18.0,22.0,4.0,4.0,0.22139999999999999
orient_green_power_ltd_tamil_nadu_coimbatore_10__unit_01,bio_power,10.0,22.0,4.0,4.0,0.122
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__chennai_north,bio_power,0.0383117668400048,30.0,6.0,6.0,0.0006321441528600792
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__coimbatore,bio_power,0.0897811101705163,30.0,6.0,6.0,0.0014634320957794158
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__villupuram,bio_power,1.7993372838311763,20.0,4.0,4.0,0.020152577578909175
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__vellore,bio_power,0.1160962631515298,29.0,6.0,6.0,0.0018459305841093238
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__madurai,bio_power,0.7197968315394848,28.0,6.0,6.0,0.010940911839400169
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__erode,bio_power,0.770105212238481,22.0,5.0,5.0,0.009241262546861773
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__chennai_south,bio_power,0.4876043052364252,24.0,5.0,5.0,0.006387616398597169
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__trichy,bio_power,1.4428443584472124,15.0,3.0,3.0,0.012119892610956582
others_districts_not_specified_waste_to_energy_tamil_nadu_n_a_6___aggregate_01__tirunelveli,bio_power,0.9361228685451686,23.0,5.0,5.0,0.011795148143669124
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__chennai_north,bio_power,0.270576853307534,23.0,5.0,5.0,0.0034092683516749283
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__coimbatore,bio_power,0.6340790905792717,18.0,4.0,4.0,0.0062139750876768615
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__villupuram,bio_power,45.70781956705768,20.0,4.0,4.0,0.5073567971943402
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__vellore,bio_power,27.81992985850768,24.0,5.0,5.0,0.36444108114645063
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__madurai,bio_power,5.0835651227476095,19.0,4.0,4.0,0.0533774337888499
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__erode,bio_power,5.43886806143427,20.0,4.0,4.0,0.05982754867577697
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__chennai_south,bio_power,3.443705405732252,29.0,6.0,6.0,0.05441054541056958
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__trichy,bio_power,43.19008828153344,27.0,5.0,5.0,0.6478513242230016
others_districts_not_specified_biomass_bagasse_based_cogen_tamil__aggregate_01__tirunelveli,bio_power,6.611367759100252,25.0,5.0,5.0,0.09057573829967346
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__chennai_north,bio_power,0.3115824162534768,25.0,5.0,5.0,0.00429983734429798
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__coimbatore,bio_power,0.7301729350586527,24.0,5.0,5.0,0.009565265449268348
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__villupuram,bio_power,14.63367275365824,21.0,4.0,4.0,0.1712139712178014
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__vellore,bio_power,0.9441891401620508,23.0,4.0,4.0,0.012180039908090457
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__madurai,bio_power,5.853972669004715,22.0,5.0,5.0,0.0702476720280566
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__erode,bio_power,6.263121296408271,25.0,5.0,5.0,0.0851784496311525
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__chennai_south,bio_power,3.9655943886806138,28.0,6.0,6.0,0.06067359414681338
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__trichy,bio_power,11.734382633933969,23.0,5.0,5.0,0.14785322118756802
others_districts_not_specified_non_bagasse_based_cogen_tamil_nad__aggregate_01__tirunelveli,bio_power,7.613311766840003,22.0,4.0,4.0,0.09364373473213203
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__chennai_north,bio_power,0.1650399080904583,26.0,5.0,5.0,0.0023600706856935533
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__coimbatore,bio_power,0.3867601886564276,24.0,5.0,5.0,0.0051052344902648445
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__villupuram,bio_power,7.75120764300399,24.0,5.0,5.0,0.10154082012335226
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__vellore,bio_power,0.5001209336074495,24.0,5.0,5.0,0.006651608416979077
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__madurai,bio_power,3.1007497883661865,19.0,4.0,4.0,0.032557872777844964
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__erode,bio_power,3.3174688595960817,24.0,5.0,5.0,0.04345884206070867
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__chennai_south,bio_power,2.100507921151288,28.0,6.0,6.0,0.03213777119361471
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__trichy,bio_power,6.215502962873382,28.0,6.0,6.0,0.0944756450356754
others_districts_not_specified_waste_to_energy_off_grid_tamil_na__aggregate_01__tirunelveli,bio_power,4.032641794654734,24.0,5.0,5.0,0.05323087168944248
ponni_sugars_limited_tamil_nadu_erode_19__unit_01,bio_power,19.0,21.0,4.0,4.0,0.22229999999999997
prathyusha_power_pvt_ltd_tamil_nadu_tirunelveli_10__unit_01,bio_power,10.0,22.0,4.0,4.0,0.122
rajashree_sugars_chemicals_ltd_tamil_nadu_theni_12__unit_01,bio_power,12.0,19.0,4.0,4.0,0.126
rajashree_sugars_chemicals_ltd_tamil_nadu_viluppuram_20__unit_01,bio_power,20.0,22.0,4.0,4.0,0.244
rajashree_sugars_chemicals_ltd_tamil_nadu_viluppuram_22__unit_01,bio_power,22.0,24.0,5.0,5.0,0.28820000000000007
rajkumar_impex_p_ltd_tamil_nadu_thoothukkudi_6__unit_01,bio_power,6.0,24.0,5.0,5.0,0.07859999999999999
renuka_textiles_limited_tamil_nadu_theni_4_5__unit_01,bio_power,4.5,20.0,4.0,4.0,0.04995
s_v_sugar_mills_ltd_tamil_nadu_kancheepuram_45__unit_01,bio_power,45.0,19.0,4.0,4.0,0.4725
saastha_energy_p_ltd_tamil_nadu_n_a_2__unit_01,bio_power,2.0,26.0,5.0,5.0,0.0286
sakti_sugars_ltd_tamil_nadu_erode_24_5__unit_01,bio_power,24.5,21.0,4.0,4.0,0.2842
sakti_sugars_ltd_tamil_nadu_sivaganga_35__unit_01,bio_power,35.0,20.0,4.0,4.0,0.385
shakti_sugars_ltd_tamil_nadu_erode_32__unit_01,bio_power,32.0,25.0,5.0,5.0,0.4384
shriraam_city_union_finance_ltd_tamil_nadu_thanjavur_7_5__unit_01,bio_power,7.5,21.0,4.0,4.0,0.08775
shriram_investments_ltd_tamil_nadu_dindigul_7_5__unit_01,bio_power,7.5,29.0,6.0,6.0,0.1185
sripathi_paper_board_p_ltd_tamil_nadu_virudhunagar_4_95_09_03_20__unit_01,bio_power,4.95,19.0,4.0,4.0,0.051975
subashri_bio_energy_p_ltd_tamil_nadu_namakkal_2_5__unit_01,bio_power,2.5,18.0,4.0,4.0,0.02475
subramania_siva_co_op_sugar_mills_tamil_nadu_dharmapuri_5__unit_01,bio_power,5.0,21.0,4.0,4.0,0.0585
synergy_sakthi_renewable_energy_ltd_tamil_nadu_dharmapuri_10__unit_01,bio_power,10.0,21.0,4.0,4.0,0.117
tcp_ltd_tamil_nadu_sivaganga_9__unit_01,bio_power,9.0,21.0,4.0,4.0,0.10529999999999998
terra_energy_ltd_tamil_nadu_cuddalore_18_68__unit_01,bio_power,18.68,28.0,6.0,6.0,0.28767200000000004
terra_energy_ltd_tamil_nadu_thanjavur_28_42__unit_01,bio_power,28.42,25.0,5.0,5.0,0.38935400000000003
additional_2026_07__diesel_samayanallur__unit_01,diesel,15.142857142857142,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samayanallur__unit_02,diesel,15.142857142857142,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samayanallur__unit_03,diesel,15.142857142857142,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samayanallur__unit_04,diesel,15.142857142857142,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samayanallur__unit_05,diesel,15.142857142857142,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samayanallur__unit_06,diesel,15.142857142857142,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samayanallur__unit_07,diesel,15.142857142857142,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samalpatti__unit_01,diesel,15.1,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samalpatti__unit_02,diesel,15.1,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samalpatti__unit_03,diesel,15.1,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samalpatti__unit_04,diesel,15.1,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samalpatti__unit_05,diesel,15.1,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samalpatti__unit_06,diesel,15.1,0.0,0.0,0.0,0.0
additional_2026_07__diesel_samalpatti__unit_07,diesel,15.1,0.0,0.0,0.0,0.0
