technology,installed_capacity_mw,modeled_generation_gwh,observed_generation_gwh,difference_gwh,difference_pct,modeled_flh,observed_implied_flh,flh_difference
coal,15032.5,67389.63813333477,65111.32000000001,2278.31813333476,3.4991121871508057,4482.9295282444555,4331.370031598204,151.55949664625132
oil_gas,844.58,1241.4500000000003,1241.45,2.2737367544323206e-13,1.831516979686915e-14,1469.9021999100146,1469.9021999100144,2.2737367544323206e-13
nuclear,2440.0,15143.75,15143.75,0.0,0.0,6206.454918032787,6206.454918032787,0.0
hydro,2203.2,7358.780678970094,5538.41,1820.3706789700946,32.868109781870515,3340.042065618235,2513.802650689906,826.2394149283291
solar,14121.459999998,23201.832330887337,15264.32,7937.512330887337,52.00043192809989,1643.0193712895566,1080.9307252934302,562.0886459961264
wind,12299.490000000002,17293.767728106686,23087.089999999997,-5793.32227189331,-25.09334122184005,1406.0556761383343,1877.077017014526,-471.02134087619174
