,mean_monthly_cf_pct,minimum_cf_pct,minimum_month,maximum_cf_pct,maximum_month,seasonal_range_percentage_points,coefficient_of_variation,peak_to_trough_ratio
wind_resource,16.0297046602843,12.048356816671896,Feb-2026,21.985054436149458,Jul-2025,9.936697619477561,0.21562494275031815,1.8247346730076643
wind_modeled,16.0270413438133,12.048356816671896,Feb-2026,21.985054436149458,Jul-2025,9.936697619477561,0.21575982058009893,1.8247346730076643
wind_observed,21.36456622910349,5.5345856328320355,Mar-2026,47.246801220195714,Jul-2025,41.71221558736368,0.702014226943735,8.536646526872802
hydro_modeled,38.06526837708248,28.163911781491084,Feb-2026,53.75719328006382,Jul-2025,25.593281498572733,0.2524601787523801,1.9087260923531322
hydro_observed,28.587336730678825,10.367373751571519,Mar-2026,50.48497395772328,Jul-2025,40.117600206151764,0.5084024043165996,4.869601035659644
